# Epoch	Loss	Val_Loss
1	4.807741	4.052647
2	3.764100	3.208313
3	3.010120	2.584088
4	2.442819	2.108915
5	2.007081	1.744448
6	1.670066	1.461808
7	1.405940	1.239969
8	1.196131	1.065836
9	1.030026	0.924382
10	0.895694	0.814986
11	0.788769	0.727464
12	0.702458	0.656406
13	0.632902	0.601416
14	0.577604	0.558976
15	0.533697	0.525065
16	0.498325	0.498257
17	0.469501	0.474920
18	0.446483	0.457658
19	0.428034	0.445232
20	0.412979	0.435000
21	0.401003	0.426140
22	0.391677	0.420387
23	0.383790	0.415440
24	0.377484	0.411772
25	0.372806	0.408225
26	0.368795	0.406542
27	0.365414	0.403864
28	0.362892	0.401906
29	0.360861	0.400444
30	0.359242	0.400075
