# Epoch	Loss	Val_Loss
1	0.771266	0.465577
2	0.333869	0.210425
3	0.160851	0.106922
4	0.088038	0.061792
5	0.054733	0.040233
6	0.037809	0.028660
7	0.028206	0.021769
8	0.022273	0.017329
9	0.018364	0.014345
10	0.015705	0.012282
11	0.013870	0.010836
12	0.012582	0.009807
13	0.011676	0.009076
14	0.011035	0.008549
15	0.010575	0.008174
16	0.010253	0.007906
17	0.010025	0.007709
18	0.009864	0.007570
19	0.009748	0.007464
20	0.009663	0.007394
21	0.009607	0.007337
22	0.009568	0.007299
23	0.009539	0.007272
24	0.009520	0.007249
25	0.009502	0.007234
