# Epoch	Loss	Val_Loss
1	0.869844	0.649659
2	0.496903	0.382394
3	0.293878	0.235411
4	0.182439	0.152107
5	0.119309	0.103150
6	0.082291	0.073605
7	0.059960	0.055443
8	0.046123	0.043326
9	0.036739	0.034972
10	0.030252	0.029074
11	0.025577	0.024799
12	0.022122	0.021656
13	0.019543	0.019256
14	0.017534	0.017411
15	0.015968	0.015971
16	0.014720	0.014904
17	0.013745	0.014030
18	0.012963	0.013370
19	0.012337	0.012849
20	0.011838	0.012445
21	0.011436	0.012101
22	0.011108	0.011881
23	0.010844	0.011675
24	0.010631	0.011537
25	0.010470	0.011402
26	0.010337	0.011329
27	0.010231	0.011323
28	0.010147	0.011282
29	0.010080	0.011210
30	0.010019	0.011149
31	0.009975	0.011133
32	0.009940	0.011141
33	0.009906	0.011121
34	0.009886	0.011150
35	0.009864	0.011132
36	0.009845	0.011127
37	0.009836	0.011116
38	0.009827	0.011140
39	0.009821	0.011180
40	0.009811	0.011170
41	0.009806	0.011118
42	0.009805	0.011114
43	0.009797	0.011083
44	0.009794	0.011070
45	0.009795	0.011074
46	0.009796	0.011100
47	0.009791	0.011103
48	0.009792	0.011098
49	0.009786	0.011121
50	0.009787	0.011145
