# Epoch	Loss	Val_Loss
1	1.054657	0.930692
2	0.671434	0.622768
3	0.454496	0.443782
4	0.329970	0.333495
5	0.254505	0.262897
6	0.206688	0.217123
7	0.175989	0.185299
8	0.154569	0.163947
9	0.139643	0.147742
10	0.128395	0.136333
11	0.119919	0.127125
12	0.113294	0.120650
13	0.108092	0.115673
14	0.104160	0.111992
15	0.100980	0.109416
16	0.098468	0.107298
17	0.096399	0.105667
18	0.094829	0.104102
19	0.093500	0.103240
20	0.092416	0.102348
21	0.091547	0.101500
22	0.090850	0.101051
23	0.090296	0.100913
24	0.089908	0.100683
25	0.089516	0.100391
26	0.089267	0.100207
27	0.089004	0.099785
28	0.088853	0.100049
29	0.088675	0.100391
30	0.088548	0.100393
