#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.833774   -0.833774           0
           2   -0.832641   -0.833208  0.00040052
           3   -0.831463   -0.832626 0.000544623
           4    -0.83024    -0.83203 0.000658656
           5   -0.828969   -0.831417 0.000759898
           6   -0.827644   -0.830788 0.000854798
           7   -0.826253    -0.83014 0.000946899
           8   -0.824795   -0.829472  0.00103782
           9   -0.823277   -0.828784  0.00112792
          10   -0.821707   -0.828076  0.00121707
          11   -0.820071   -0.827349  0.00130602
          12   -0.818385   -0.826602  0.00139454
          13    -0.81666   -0.825837  0.00148219
          14    -0.81491   -0.825056   0.0015684
          15   -0.813155   -0.824263  0.00165238
          16   -0.811416    -0.82346  0.00173325
          17   -0.809712   -0.822651  0.00181016
          18   -0.808065   -0.821841  0.00188227
          19   -0.806519   -0.821034   0.0019483
          20   -0.805101   -0.820238  0.00200716
          21   -0.803838   -0.819457  0.00205791
          22   -0.802764   -0.818698  0.00209959
          23    -0.80191   -0.817968  0.00213141
          24   -0.801305   -0.817274  0.00215271
          25   -0.800971   -0.816622  0.00216312
          26   -0.800928   -0.816018   0.0021625
          27   -0.801188   -0.815469  0.00215104
          28   -0.801771    -0.81498  0.00212912
          29   -0.802661   -0.814555  0.00209764
          30   -0.803859   -0.814198   0.0020578
          31   -0.805351   -0.813913  0.00201111
          32   -0.807118   -0.813701  0.00195944
          33   -0.809133   -0.813562  0.00190495
          34    -0.81137   -0.813498  0.00185001
          35    -0.81379   -0.813506  0.00179717
          36   -0.816355   -0.813585  0.00174899
          37   -0.819029   -0.813732   0.0017079
          38    -0.82177   -0.813944    0.001676
          39   -0.824541   -0.814216  0.00165491
          40   -0.827308   -0.814543  0.00164559
          41   -0.830035   -0.814921  0.00164826
          42   -0.832686   -0.815344   0.0016624
          43   -0.835238   -0.815806  0.00168689
          44   -0.837663   -0.816303  0.00172014
          45   -0.839934   -0.816828  0.00176024
          46   -0.842042   -0.817376   0.0018053
          47   -0.843978   -0.817942  0.00185349
          48   -0.845721   -0.818521  0.00190308
          49   -0.847267   -0.819108  0.00195257
          50   -0.848611   -0.819698  0.00200069
          51   -0.849763   -0.820287  0.00204647
          52    -0.85072   -0.820873  0.00208912
          53   -0.851483    -0.82145  0.00212804
          54   -0.852057   -0.822017   0.0021628
