#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.6205      1.6205           0
           2     1.61976     1.62013 0.000259769
           3     1.61901     1.61976 0.000351676
           4     1.61822     1.61937 0.000424062
           5     1.61741     1.61898 0.000488518
           6     1.61656     1.61858 0.000549029
           7     1.61567     1.61816 0.000607495
           8     1.61474     1.61773 0.000664963
           9     1.61378     1.61729 0.000722043
          10     1.61276     1.61684 0.000779066
          11     1.61171     1.61638 0.000836172
          12     1.61062      1.6159 0.000893341
          13      1.6095      1.6154 0.000950422
          14     1.60835      1.6149  0.00100714
          15     1.60719     1.61439  0.00106312
          16     1.60602     1.61386  0.00111789
          17     1.60486     1.61333  0.00117088
          18     1.60373      1.6128  0.00122148
          19     1.60263     1.61227    0.001269
          20      1.6016     1.61173  0.00131274
          21     1.60066      1.6112  0.00135199
          22     1.59982     1.61069  0.00138608
          23      1.5991     1.61018  0.00141437
          24     1.59853      1.6097  0.00143631
          25     1.59813     1.60924  0.00145146
          26     1.59791      1.6088  0.00145955
          27     1.59788      1.6084  0.00146045
          28     1.59806     1.60803  0.00145422
          29     1.59844      1.6077  0.00144115
          30     1.59903     1.60741  0.00142175
          31     1.59983     1.60716  0.00139673
          32     1.60083     1.60696  0.00136705
          33       1.602     1.60681  0.00133387
          34     1.60334     1.60671  0.00129854
          35     1.60483     1.60666  0.00126254
          36     1.60644     1.60665  0.00122749
          37     1.60815     1.60669  0.00119498
          38     1.60993     1.60678  0.00116657
          39     1.61176     1.60691  0.00114362
          40      1.6136     1.60707  0.00112722
          41     1.61544     1.60728  0.00111806
          42     1.61726     1.60751  0.00111641
          43     1.61902     1.60778  0.00112206
          44     1.62072     1.60808  0.00113442
          45     1.62233     1.60839   0.0011526
          46     1.62385     1.60873  0.00117548
          47     1.62525     1.60908   0.0012019
          48     1.62654     1.60944  0.00123066
          49      1.6277     1.60982  0.00126069
          50     1.62873      1.6102  0.00129099
          51     1.62963     1.61058  0.00132075
          52      1.6304     1.61096  0.00134926
          53     1.63104     1.61134  0.00137597
          54     1.63155     1.61171  0.00140046
          55     1.63193     1.61208  0.00142242
          56     1.63219     1.61244  0.00144164
          57     1.63233     1.61279    0.001458
          58     1.63237     1.61312  0.00147143
          59      1.6323     1.61345  0.00148196
          60     1.63214     1.61376  0.00148963
          61     1.63189     1.61406  0.00149456
          62     1.63156     1.61434  0.00149687
          63     1.63115     1.61461  0.00149671
          64     1.63069     1.61486  0.00149426
          65     1.63017     1.61509  0.00148971
          66      1.6296     1.61531  0.00148326
          67     1.62899     1.61552   0.0014751
          68     1.62835     1.61571  0.00146543
          69     1.62769     1.61588  0.00145445
          70     1.62702     1.61604  0.00144236
          71     1.62635     1.61618  0.00142933
          72     1.62567     1.61632  0.00141554
          73     1.62501     1.61644  0.00140114
          74     1.62436     1.61654   0.0013863
          75     1.62374     1.61664  0.00137113
          76     1.62315     1.61672  0.00135576
          77      1.6226      1.6168   0.0013403
          78     1.62209     1.61687  0.00132483
          79     1.62163     1.61693  0.00130943
          80     1.62123     1.61698  0.00129416
          81     1.62088     1.61703  0.00127908
          82     1.62059     1.61707  0.00126422
          83     1.62038     1.61711  0.00124961
          84     1.62022     1.61715  0.00123528
          85     1.62014     1.61719  0.00122125
          86     1.62014     1.61722  0.00120754
          87      1.6202     1.61725  0.00119414
          88     1.62034     1.61729  0.00118109
          89     1.62055     1.61733  0.00116839
          90     1.62084     1.61737  0.00115606
          91      1.6212     1.61741  0.00114412
          92     1.62163     1.61745  0.00113261
          93     1.62214      1.6175  0.00112155
          94     1.62271     1.61756  0.00111098
          95     1.62335     1.61762  0.00110096
          96     1.62406     1.61769  0.00109153
          97     1.62483     1.61776  0.00108276
          98     1.62566     1.61784  0.00107471
