#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.40852    -1.40852           0
           2    -1.40815    -1.40834 0.000129278
           3    -1.40786    -1.40818    0.000156
           4    -1.40763    -1.40804 0.000165839
           5    -1.40748    -1.40793 0.000166352
           6     -1.4074    -1.40784 0.000160551
           7    -1.40738    -1.40778 0.000150298
           8    -1.40744    -1.40773 0.000137213
           9    -1.40757    -1.40771 0.000123202
          10    -1.40776    -1.40772 0.000110979
          11    -1.40803    -1.40775  0.00010442
          12    -1.40837     -1.4078 0.000107688
          13    -1.40877    -1.40787 0.000122666
          14    -1.40925    -1.40797  0.00014799
          15    -1.40979    -1.40809 0.000181112
          16     -1.4104    -1.40824 0.000219973
          17    -1.41114    -1.40841 0.000265092
          18    -1.41189     -1.4086  0.00031309
          19    -1.41271    -1.40882 0.000363709
          20    -1.41362    -1.40906 0.000417404
          21    -1.41459    -1.40932  0.00047335
          22    -1.41561    -1.40961  0.00053126
          23    -1.41671    -1.40992 0.000591088
          24    -1.41787    -1.41025 0.000652788
          25     -1.4191     -1.4106 0.000716307
          26    -1.42041    -1.41098 0.000781851
          27    -1.42178    -1.41138 0.000849055
          28    -1.42321     -1.4118 0.000917887
          29    -1.42471    -1.41225 0.000988312
          30    -1.42628    -1.41272   0.0010603
          31    -1.42791    -1.41321   0.0011338
          32    -1.42962    -1.41372   0.0012088
          33    -1.43138    -1.41425  0.00128525
          34    -1.43322    -1.41481  0.00136312
          35    -1.43512    -1.41539  0.00144239
          36    -1.43709    -1.41599  0.00152301
          37    -1.43912    -1.41662  0.00160496
          38    -1.44122    -1.41727  0.00168821
          39    -1.44338    -1.41794  0.00177274
          40    -1.44561    -1.41863   0.0018585
          41     -1.4479    -1.41934  0.00194548
          42    -1.45026    -1.42008  0.00203365
          43    -1.45268    -1.42084  0.00212298
          44    -1.45516    -1.42162  0.00221345
          45    -1.45771    -1.42242  0.00230503
          46    -1.46032    -1.42324  0.00239769
          47      -1.463    -1.42409  0.00249142
          48    -1.46573    -1.42496  0.00258618
          49    -1.46853    -1.42585  0.00268196
          50    -1.47139    -1.42676  0.00277872
          51    -1.47431    -1.42769  0.00287645
          52    -1.47729    -1.42864  0.00297512
          53    -1.48033    -1.42962   0.0030747
          54    -1.48343    -1.43061  0.00317517
          55    -1.48659    -1.43163  0.00327651
          56    -1.48981    -1.43267  0.00337869
          57    -1.49306    -1.43373  0.00348157
          58    -1.49638    -1.43481  0.00358518
          59    -1.49976    -1.43591  0.00368957
          60    -1.50321    -1.43703  0.00379472
          61     -1.5067    -1.43818  0.00390059
          62    -1.51025    -1.43934  0.00400716
          63    -1.51385    -1.44052  0.00411439
          64     -1.5175    -1.44172  0.00422227
          65     -1.5212    -1.44295  0.00433074
          66    -1.52495    -1.44419  0.00443979
          67    -1.52875    -1.44545  0.00454939
          68     -1.5326    -1.44673  0.00465949
          69    -1.53649    -1.44803  0.00477007
          70    -1.54042    -1.44935   0.0048811
          71    -1.54439    -1.45069  0.00499252
          72    -1.54841    -1.45205  0.00510432
          73    -1.55246    -1.45342  0.00521645
          74    -1.55655    -1.45482  0.00532888
          75    -1.56068    -1.45623  0.00544155
          76    -1.56484    -1.45766  0.00555444
          77    -1.56903     -1.4591   0.0056675
          78    -1.57325    -1.46057  0.00578067
          79    -1.57749    -1.46205  0.00589393
          80    -1.58176    -1.46354  0.00600721
          81    -1.58605    -1.46506  0.00612047
          82    -1.59036    -1.46659  0.00623366
          83    -1.59468    -1.46813  0.00634672
          84    -1.59901    -1.46969   0.0064596
          85    -1.60335    -1.47126  0.00657222
          86    -1.60768    -1.47285  0.00668449
          87    -1.61206    -1.47445  0.00679647
          88    -1.61641    -1.47606  0.00690805
          89    -1.62076    -1.47768  0.00701916
          90    -1.62509    -1.47932  0.00712969
          91     -1.6294    -1.48097  0.00723958
          92     -1.6337    -1.48263  0.00734875
          93    -1.63797     -1.4843  0.00745712
          94     -1.6422    -1.48598  0.00756461
          95    -1.64638    -1.48767  0.00767111
          96    -1.65054    -1.48937  0.00777655
          97    -1.65466    -1.49107  0.00788087
          98    -1.65871    -1.49278  0.00798395
          99     -1.6627     -1.4945  0.00808569
         100    -1.66662    -1.49622  0.00818599
         101    -1.67046    -1.49794  0.00828474
         102    -1.67421    -1.49967  0.00838181
         103    -1.67787     -1.5014   0.0084771
         104    -1.68142    -1.50313  0.00857049
         105    -1.68485    -1.50486  0.00866184
         106    -1.68816    -1.50659  0.00875103
         107    -1.69134    -1.50832  0.00883793
         108    -1.69436    -1.51004  0.00892241
         109    -1.69723    -1.51176  0.00900431
         110    -1.69993    -1.51347  0.00908349
         111    -1.70244    -1.51517   0.0091598
         112    -1.70476    -1.51687   0.0092331
         113    -1.70686    -1.51855  0.00930322
         114    -1.70873    -1.52022     0.00937
