#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.99984     1.99984           0
           2     1.99955      1.9997 0.000102884
           3     1.99931     1.99957 0.000126212
           4     1.99911     1.99945 0.000136798
           5     1.99896     1.99935 0.000140402
           6     1.99886     1.99927 0.000139221
           7      1.9988      1.9992 0.000134489
           8     1.99879     1.99915 0.000127105
           9     1.99883     1.99912 0.000117897
          10     1.99892      1.9991 0.000107813
          11     1.99905     1.99909 9.81076e-05
          12     1.99923      1.9991 9.05477e-05
          13     1.99945     1.99913 8.73885e-05
          14     1.99972     1.99917   9.071e-05
          15     2.00004     1.99923 0.000101298
          16      2.0004      1.9993 0.000118413
          17     2.00081     1.99939 0.000140692
          18     2.00126      1.9995  0.00016692
          19     2.00176     1.99962 0.000196235
          20     2.00231     1.99975 0.000228062
          21      2.0029      1.9999 0.000262017
          22     2.00354     2.00007  0.00029784
          23     2.00423     2.00025 0.000335344
          24     2.00496     2.00044 0.000374389
          25     2.00573     2.00065 0.000414869
          26     2.00655     2.00088   0.0004567
          27     2.00742     2.00112 0.000499813
          28     2.00833     2.00138 0.000544149
          29     2.00928     2.00165 0.000589659
          30     2.01028     2.00194 0.000636299
          31     2.01133     2.00224  0.00068403
          32     2.01242     2.00256 0.000732818
          33     2.01355     2.00289 0.000782629
          34     2.01473     2.00324 0.000833436
          35     2.01595     2.00361  0.00088521
          36     2.01722     2.00398 0.000937927
          37     2.01853     2.00438 0.000991562
          38     2.01989     2.00478  0.00104609
          39     2.02128     2.00521   0.0011015
          40     2.02273     2.00565  0.00115776
          41     2.02421      2.0061  0.00121485
          42     2.02574     2.00657  0.00127276
          43     2.02731     2.00705  0.00133146
          44     2.02893     2.00755  0.00139094
          45     2.03058     2.00806  0.00145118
          46     2.03228     2.00858  0.00151216
          47     2.03402     2.00913  0.00157387
          48     2.03581     2.00968  0.00163629
          49     2.03763     2.01025   0.0016994
          50     2.03949     2.01084  0.00176318
          51      2.0414     2.01144  0.00182763
          52     2.04335     2.01205  0.00189271
          53     2.04534     2.01268  0.00195843
          54     2.04736     2.01332  0.00202476
          55     2.04943     2.01398  0.00209168
          56     2.05153     2.01465  0.00215918
          57     2.05368     2.01533  0.00222724
          58     2.05586     2.01603  0.00229584
          59     2.05808     2.01674  0.00236497
          60     2.06034     2.01747  0.00243462
          61     2.06263     2.01821  0.00250475
          62     2.06496     2.01896  0.00257536
          63     2.06733     2.01973  0.00264643
          64     2.06973     2.02051  0.00271794
          65     2.07216     2.02131  0.00278986
          66     2.07463     2.02212  0.00286218
          67     2.07713     2.02294  0.00293488
          68     2.07966     2.02377  0.00300795
          69     2.08223     2.02462  0.00308134
          70     2.08482     2.02548  0.00315506
          71     2.08744     2.02635  0.00322906
          72     2.09009     2.02724  0.00330334
          73     2.09277     2.02813  0.00337786
          74     2.09547     2.02904  0.00345261
          75      2.0982     2.02997  0.00352755
          76     2.10095      2.0309  0.00360265
          77     2.10372     2.03185   0.0036779
          78     2.10651      2.0328  0.00375327
          79     2.10933     2.03377  0.00382871
          80     2.11216     2.03475  0.00390421
          81       2.115     2.03574  0.00397973
          82     2.11786     2.03674  0.00405524
          83     2.12073     2.03776   0.0041307
          84     2.12361     2.03878  0.00420608
          85      2.1265     2.03981  0.00428135
          86      2.1294     2.04085  0.00435645
          87      2.1323      2.0419  0.00443136
          88      2.1352     2.04296  0.00450604
          89     2.13809     2.04403  0.00458043
          90     2.14099     2.04511  0.00465449
          91     2.14387     2.04619  0.00472819
          92     2.14675     2.04729  0.00480146
          93     2.14961     2.04839  0.00487426
          94     2.15245     2.04949  0.00494653
          95     2.15528     2.05061  0.00501823
          96     2.15808     2.05173  0.00508929
          97     2.16085     2.05285  0.00515965
          98     2.16358     2.05398  0.00522926
          99     2.16628     2.05512  0.00529805
         100     2.16894     2.05625  0.00536595
         101     2.17155      2.0574  0.00543289
         102     2.17411     2.05854  0.00549881
         103     2.17661     2.05969  0.00556362
         104     2.17905     2.06083  0.00562726
         105     2.18141     2.06198  0.00568963
         106      2.1837     2.06313  0.00575067
         107     2.18591     2.06428  0.00581027
         108     2.18802     2.06542  0.00586836
         109     2.19004     2.06657  0.00592484
         110     2.19195     2.06771  0.00597962
         111     2.19375     2.06884  0.00603261
         112     2.19542     2.06997  0.00608369
         113     2.19697      2.0711  0.00613278
         114     2.19837     2.07221  0.00617976
         115     2.19961     2.07332  0.00622453
         116      2.2007     2.07442  0.00626698
         117     2.20161     2.07551    0.006307
         118     2.20234     2.07658  0.00634449
         119     2.20287     2.07764  0.00637932
         120     2.20319     2.07869  0.00641138
         121      2.2033     2.07972  0.00644057
         122     2.20316     2.08073  0.00646676
         123     2.20278     2.08172  0.00648987
         124     2.20213     2.08269  0.00650977
         125     2.20121     2.08364  0.00652636
         126     2.19999     2.08457  0.00653956
         127     2.19846     2.08546  0.00654928
         128     2.19662     2.08633  0.00655543
         129     2.19443     2.08717  0.00655795
         130     2.19188     2.08797  0.00655679
         131     2.18897     2.08875   0.0065519
         132     2.18566     2.08948  0.00654328
         133     2.18196     2.09017  0.00653092
         134     2.17783     2.09083  0.00651486
         135     2.17327     2.09144  0.00649516
         136     2.16827       2.092  0.00647192
         137      2.1628     2.09252  0.00644528
         138     2.15685     2.09299  0.00641541
         139     2.15042      2.0934  0.00638255
         140     2.14349     2.09376  0.00634698
         141     2.13606     2.09406  0.00630905
         142     2.12812      2.0943  0.00626918
         143     2.11967     2.09448  0.00622785
         144      2.1107     2.09459  0.00618562
         145     2.10122     2.09463  0.00614313
         146     2.09124     2.09461  0.00610109
         147     2.08077     2.09452  0.00606032
         148     2.06981     2.09435  0.00602167
         149      2.0584     2.09411  0.00598608
         150     2.04655     2.09379  0.00595457
         151      2.0343      2.0934  0.00592815
         152     2.02168     2.09293  0.00590789
         153     2.00874     2.09238  0.00589485
         154     1.99551     2.09175  0.00589004
         155     1.98205     2.09104   0.0058944
         156     1.96843     2.09025  0.00590878
         157     1.95471     2.08939  0.00593387
         158     1.94096     2.08845  0.00597022
         159     1.92725     2.08744  0.00601814
         160     1.91367     2.08635  0.00607772
         161      1.9003     2.08519  0.00614885
         162     1.88724     2.08397  0.00623113
         163     1.87456     2.08269  0.00632397
         164     1.86235     2.08134  0.00642653
         165     1.85072     2.07995  0.00653781
         166     1.83975      2.0785  0.00665662
         167     1.82952     2.07701  0.00678166
         168     1.82012     2.07548  0.00691153
         169     1.81162     2.07392  0.00704478
         170     1.80409     2.07233  0.00717992
         171     1.79759     2.07072  0.00731549
         172     1.79217     2.06911  0.00745006
         173     1.78788     2.06748  0.00758227
         174     1.78474     2.06585  0.00771085
         175     1.78277     2.06424  0.00783463
         176     1.78197     2.06263  0.00795257
         177     1.78235     2.06105  0.00806375
         178     1.78389     2.05949   0.0081674
         179     1.78654     2.05797  0.00826289
         180     1.79029     2.05648  0.00834974
         181     1.79507     2.05504  0.00842759
         182     1.80082     2.05364  0.00849625
         183     1.80749     2.05229  0.00855563
         184       1.815       2.051  0.00860578
         185     1.82326     2.04977  0.00864686
         186     1.83221      2.0486  0.00867913
         187     1.84174      2.0475  0.00870293
         188     1.85179     2.04646  0.00871867
         189     1.86225     2.04548  0.00872685
         190     1.87306     2.04457  0.00872798
         191     1.88411     2.04373  0.00872262
         192     1.89534     2.04296  0.00871136
         193     1.90666     2.04226  0.00869481
         194     1.91801     2.04162  0.00867354
         195     1.92932     2.04104  0.00864816
         196     1.94053     2.04053  0.00861922
         197     1.95159     2.04007  0.00858728
         198     1.96244     2.03968  0.00855286
         199     1.97304     2.03935  0.00851644
         200     1.98336     2.03907  0.00847845
         201     1.99337     2.03884  0.00843932
         202     2.00303     2.03866   0.0083994
         203     2.01234     2.03853  0.00835903
         204     2.02128     2.03845  0.00831848
         205     2.02984     2.03841  0.00827801
         206     2.03801     2.03841  0.00823782
         207     2.04579     2.03844   0.0081981
         208      2.0532     2.03851    0.008159
         209     2.06023     2.03862  0.00812062
         210      2.0669     2.03875  0.00808307
         211     2.07322     2.03891  0.00804641
         212      2.0792      2.0391   0.0080107
         213     2.08486     2.03932  0.00797597
         214     2.09022     2.03956  0.00794224
         215      2.0953     2.03982  0.00790953
         216     2.10011     2.04009  0.00787784
         217     2.10468     2.04039  0.00784716
         218     2.10903     2.04071  0.00781748
         219     2.11318     2.04104  0.00778878
         220     2.11714     2.04138  0.00776106
         221     2.12094     2.04174  0.00773428
         222     2.12458     2.04212  0.00770844
         223     2.12809      2.0425  0.00768351
         224     2.13148      2.0429  0.00765947
         225     2.13477     2.04331   0.0076363
         226     2.13795     2.04373  0.00761399
         227     2.14105     2.04416  0.00759251
         228     2.14407     2.04459  0.00757184
         229     2.14701     2.04504  0.00755197
         230     2.14988      2.0455  0.00753288
         231     2.15267     2.04596  0.00751454
         232     2.15539     2.04643  0.00749694
         233     2.15803     2.04691  0.00748005
         234     2.16059      2.0474  0.00746384
         235     2.16306     2.04789  0.00744829
         236     2.16543     2.04839  0.00743336
         237      2.1677     2.04889  0.00741902
         238     2.16985      2.0494  0.00740524
         239     2.17187     2.04991  0.00739196
         240     2.17376     2.05043  0.00737915
         241     2.17548     2.05095  0.00736675
         242     2.17705     2.05147  0.00735472
         243     2.17843     2.05199  0.00734299
         244     2.17961     2.05251   0.0073315
         245     2.18059     2.05304  0.00732019
         246     2.18134     2.05356  0.00730899
         247     2.18186     2.05408  0.00729783
         248     2.18212     2.05459  0.00728664
         249     2.18213     2.05511  0.00727536
         250     2.18187     2.05561  0.00726391
         251     2.18132     2.05611  0.00725221
         252     2.18049     2.05661  0.00724021
         253     2.17936     2.05709  0.00722783
         254     2.17793     2.05757  0.00721502
         255      2.1762     2.05803  0.00720171
         256     2.17417     2.05849  0.00718785
         257     2.17184     2.05893   0.0071734
         258     2.16921     2.05936  0.00715832
         259     2.16629     2.05977  0.00714258
         260     2.16309     2.06017  0.00712616
         261     2.15962     2.06055  0.00710903
         262     2.15589     2.06091  0.00709121
         263     2.15192     2.06126  0.00707268
         264     2.14773     2.06158  0.00705347
         265     2.14335     2.06189   0.0070336
         266     2.13878     2.06218   0.0070131
         267     2.13407     2.06245    0.006992
         268     2.12923      2.0627  0.00697035
         269      2.1243     2.06293  0.00694819
         270     2.11931     2.06314   0.0069256
         271      2.1143     2.06333  0.00690262
         272     2.10929      2.0635  0.00687931
