# VELOCITY:     AVE_POFV:        ERROR:
   0.0942809  0.00621992           0
    0.282843   0.0202638           0
    0.471405    0.067257           0
    0.659966    0.120225           0
    0.848528    0.136724           0
     1.03709    0.213409           0
     1.22565    0.285707           0
     1.41421    0.356876           0
     1.60278    0.359413           0
     1.79134    0.409451           0
      1.9799    0.431024           0
     2.16846    0.398173           0
     2.35702    0.355256           0
     2.54558    0.570432           0
     2.73415    0.367794           0
     2.92271    0.321193           0
     3.11127     0.26325           0
     3.29983     0.17658           0
     3.48839    0.163109           0
     3.67696    0.105084           0
     3.86552   0.0650309           0
     4.05408   0.0526893           0
     4.24264   0.0191181           0
      4.4312   0.0190362           0
     4.61976    0.010934           0
     4.80833  0.00589256           0
     4.99689  0.00186598           0
     5.18545  0.00129309           0
     5.37401           0           0
     5.56257           0           0
   0.0942809   0.0051478 0.000758102
    0.282843   0.0310259  0.00760995
    0.471405    0.090107   0.0161574
    0.659966    0.140881   0.0146065
    0.848528    0.218876   0.0580903
     1.03709     0.26005   0.0329803
     1.22565    0.320457   0.0245718
     1.41421    0.442007   0.0601968
     1.60278    0.464636   0.0744039
     1.79134     0.44614   0.0259433
      1.9799    0.419485  0.00815972
     2.16846    0.355305   0.0303125
     2.35702    0.345885  0.00662616
     2.54558    0.449275   0.0856713
     2.73415    0.310366   0.0406076
     2.92271    0.267743   0.0377951
     3.11127     0.20759   0.0393576
     3.29983    0.163707  0.00910301
     3.48839    0.128801   0.0242593
     3.67696    0.082283   0.0161227
     3.86552   0.0540642  0.00775463
     4.05408   0.0535977 0.000642361
     4.24264   0.0239221  0.00339699
      4.4312   0.0117769   0.0051331
     4.61976  0.00564703  0.00373843
     4.80833  0.00294628  0.00208333
     4.99689 0.000932988 0.000659722
     5.18545 0.000646544 0.000457176
     5.37401           0           0
     5.56257           0           0
   0.0942809  0.00483953 0.000564609
    0.282843   0.0301994    0.005118
    0.471405   0.0823485   0.0124963
    0.659966    0.147947   0.0113183
    0.848528    0.235108   0.0409319
     1.03709    0.262208   0.0220574
     1.22565    0.384195    0.054559
     1.41421    0.481438   0.0514495
     1.60278    0.506427   0.0602058
     1.79134    0.448571    0.017409
      1.9799    0.412599  0.00782297
     2.16846    0.363511   0.0212901
     2.35702    0.348577  0.00493427
     2.54558    0.386563   0.0767066
     2.73415    0.297143   0.0291452
     2.92271    0.248955   0.0294992
     3.11127     0.19661   0.0277278
     3.29983     0.15092   0.0120757
     3.48839     0.11676   0.0189269
