#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.86568     1.86568           0
           2     1.86252      1.8641  0.00111648
           3     1.85948     1.86256   0.0014611
           4     1.85658     1.86107  0.00169665
           5     1.85383     1.85962  0.00187503
           6     1.85127     1.85823  0.00201384
           7      1.8489      1.8569  0.00212138
           8     1.84676     1.85563  0.00220239
           9     1.84485     1.85443  0.00225989
          10      1.8432     1.85331  0.00229609
          11     1.84182     1.85226  0.00231274
          12     1.84072      1.8513  0.00231138
          13     1.83992     1.85043  0.00229348
          14     1.83941     1.84964  0.00226054
          15     1.83921     1.84894  0.00221415
          16     1.83931     1.84834  0.00215603
          17     1.83971     1.84784   0.0020881
          18      1.8404     1.84742  0.00201249
          19     1.84137      1.8471  0.00193159
          20     1.84261     1.84688  0.00184804
          21     1.84409     1.84675   0.0017648
          22      1.8458      1.8467  0.00168511
          23     1.84772     1.84675  0.00161241
          24     1.84981     1.84688  0.00155028
          25     1.85207     1.84708  0.00150213
          26     1.85446     1.84737  0.00147091
          27     1.85696     1.84772  0.00145874
          28     1.85955     1.84814  0.00146656
          29     1.86221     1.84863  0.00149402
          30     1.86491     1.84917  0.00153962
          31     1.86764     1.84977  0.00160102
          32     1.87037     1.85041  0.00167548
          33     1.87311      1.8511  0.00176019
          34     1.87582     1.85183   0.0018525
          35      1.8785     1.85259  0.00195008
          36     1.88115     1.85338  0.00205098
          37     1.88376      1.8542  0.00215357
          38     1.88631     1.85505  0.00225655
          39     1.88881     1.85591   0.0023589
          40     1.89125      1.8568  0.00245981
          41     1.89364      1.8577  0.00255868
          42     1.89597     1.85861  0.00265507
          43     1.89824     1.85953  0.00274865
          44     1.90045     1.86046   0.0028392
          45     1.90262      1.8614  0.00292659
          46     1.90472     1.86234  0.00301074
          47     1.90678     1.86328  0.00309163
          48     1.90879     1.86423  0.00316927
          49     1.91076     1.86518  0.00324371
          50     1.91268     1.86613  0.00331501
          51     1.91455     1.86708  0.00338325
          52     1.91639     1.86803  0.00344854
          53     1.91819     1.86897  0.00351095
          54     1.91995     1.86992   0.0035706
          55     1.92168     1.87086   0.0036276
          56     1.92337      1.8718  0.00368202
          57     1.92503     1.87273  0.00373399
          58     1.92666     1.87366  0.00378359
          59     1.92825     1.87459   0.0038309
          60      1.9298     1.87551  0.00387602
          61     1.93133     1.87642  0.00391902
          62     1.93282     1.87733  0.00395997
          63     1.93428     1.87824  0.00399895
          64      1.9357     1.87913  0.00403602
          65     1.93709     1.88003  0.00407123
          66     1.93845     1.88091  0.00410464
          67     1.93976     1.88179  0.00413631
          68     1.94105     1.88266  0.00416627
          69     1.94229     1.88352  0.00419457
          70      1.9435     1.88438  0.00422125
          71     1.94467     1.88523  0.00424635
          72      1.9458     1.88607   0.0042699
          73      1.9469      1.8869  0.00429194
          74     1.94795     1.88773   0.0043125
          75     1.94897     1.88855   0.0043316
          76     1.94994     1.88935  0.00434929
          77     1.95088     1.89015  0.00436559
          78     1.95178     1.89094  0.00438053
          79     1.95263     1.89172  0.00439413
          80     1.95345      1.8925  0.00440643
          81     1.95423     1.89326  0.00441746
          82     1.95497     1.89401  0.00442723
          83     1.95567     1.89475  0.00443579
          84     1.95634     1.89549  0.00444315
          85     1.95696     1.89621  0.00444936
          86     1.95755     1.89692  0.00445443
          87     1.95811     1.89763   0.0044584
          88     1.95863     1.89832   0.0044613
          89     1.95911       1.899  0.00446316
          90     1.95957     1.89968  0.00446401
          91     1.95999     1.90034  0.00446388
          92     1.96038     1.90099  0.00446281
          93     1.96074     1.90163  0.00446082
          94     1.96107     1.90227  0.00445795
          95     1.96137     1.90289  0.00445423
          96     1.96165      1.9035   0.0044497
          97     1.96191      1.9041  0.00444439
          98     1.96214     1.90469  0.00443832
          99     1.96235     1.90528  0.00443154
         100     1.96255     1.90585  0.00442407
         101     1.96272     1.90641  0.00441595
         102     1.96287     1.90697  0.00440722
         103     1.96301     1.90751  0.00439789
         104     1.96314     1.90805  0.00438802
         105     1.96326     1.90857  0.00437762
         106     1.96336     1.90909  0.00436673
         107     1.96346      1.9096  0.00435538
         108     1.96354      1.9101   0.0043436
         109     1.96362     1.91059  0.00433142
         110      1.9637     1.91107  0.00431887
         111     1.96377     1.91154  0.00430598
         112     1.96384     1.91201  0.00429278
         113     1.96391     1.91247  0.00427928
         114     1.96398     1.91292  0.00426553
         115     1.96405     1.91337  0.00425155
         116     1.96412      1.9138  0.00423735
         117      1.9642     1.91424  0.00422296
         118     1.96428     1.91466  0.00420841
         119     1.96436     1.91508  0.00419372
         120     1.96445     1.91549  0.00417891
         121     1.96455     1.91589  0.00416399
         122     1.96465     1.91629  0.00414899
         123     1.96476     1.91669  0.00413393
         124     1.96487     1.91708  0.00411881
         125       1.965     1.91746  0.00410366
         126     1.96513     1.91784  0.00408849
         127     1.96526     1.91821  0.00407332
         128     1.96541     1.91858  0.00405815
         129     1.96556     1.91894    0.004043
         130     1.96571      1.9193  0.00402787
         131     1.96588     1.91966  0.00401278
         132     1.96604     1.92001  0.00399774
         133     1.96621     1.92036  0.00398275
         134     1.96639      1.9207  0.00396781
         135     1.96656     1.92104  0.00395293
         136     1.96674     1.92138  0.00393812
         137     1.96691     1.92171  0.00392338
         138     1.96709     1.92204   0.0039087
         139     1.96726     1.92236   0.0038941
         140     1.96743     1.92269  0.00387956
         141     1.96759       1.923  0.00386509
         142     1.96774     1.92332  0.00385069
         143     1.96788     1.92363  0.00383635
         144     1.96801     1.92394  0.00382207
         145     1.96813     1.92424  0.00380785
         146     1.96824     1.92455  0.00379367
         147     1.96832     1.92484  0.00377953
         148     1.96839     1.92514  0.00376543
         149     1.96843     1.92543  0.00375135
         150     1.96845     1.92571  0.00373729
         151     1.96844       1.926  0.00372323
         152      1.9684     1.92628  0.00370917
         153     1.96833     1.92655   0.0036951
         154     1.96822     1.92682    0.003681
         155     1.96808     1.92709  0.00366686
         156     1.96789     1.92735  0.00365268
         157     1.96767     1.92761  0.00363843
         158     1.96739     1.92786   0.0036241
         159     1.96706      1.9281  0.00360968
         160     1.96668     1.92835  0.00359517
         161     1.96624     1.92858  0.00358053
         162     1.96575     1.92881  0.00356577
         163     1.96518     1.92903  0.00355087
         164     1.96456     1.92925  0.00353582
         165     1.96386     1.92946  0.00352061
         166     1.96309     1.92966  0.00350522
         167     1.96224     1.92986  0.00348966
         168     1.96131     1.93004   0.0034739
         169     1.96031     1.93022  0.00345796
         170     1.95921     1.93039  0.00344182
         171     1.95804     1.93056  0.00342549
         172     1.95678     1.93071  0.00340896
         173     1.95543     1.93085  0.00339225
         174     1.95399     1.93098  0.00337536
         175     1.95247     1.93111  0.00335831
         176     1.95087     1.93122   0.0033411
         177     1.94918     1.93132  0.00332377
         178     1.94742     1.93141  0.00330633
         179     1.94559     1.93149   0.0032888
         180     1.94369     1.93156  0.00327123
         181     1.94173     1.93161  0.00325364
         182     1.93972     1.93166  0.00323607
         183     1.93768     1.93169  0.00321855
         184      1.9356     1.93171  0.00320113
         185     1.93352     1.93172  0.00318384
         186     1.93143     1.93172  0.00316672
         187     1.92936     1.93171  0.00314981
         188     1.92732     1.93169  0.00313315
         189     1.92532     1.93165  0.00311675
         190     1.92339     1.93161  0.00310065
         191     1.92153     1.93156  0.00308486
         192     1.91977     1.93149  0.00306941
         193     1.91812     1.93142  0.00305429
         194     1.91659     1.93135   0.0030395
         195     1.91519     1.93127  0.00302504
         196     1.91393     1.93118   0.0030109
         197     1.91283     1.93108  0.00299706
         198     1.91187     1.93099  0.00298349
         199     1.91107     1.93089  0.00297018
         200     1.91042     1.93078  0.00295709
         201     1.90993     1.93068  0.00294419
         202     1.90957     1.93058  0.00293147
         203     1.90935     1.93047   0.0029189
         204     1.90924     1.93037  0.00290644
         205     1.90925     1.93026  0.00289409
         206     1.90935     1.93016  0.00288182
         207     1.90952     1.93006  0.00286963
         208     1.90975     1.92997  0.00285749
         209     1.91002     1.92987  0.00284541
         210     1.91032     1.92978  0.00283338
         211     1.91063     1.92969  0.00282141
         212     1.91094      1.9296  0.00280948
         213     1.91123     1.92951  0.00279762
         214     1.91148     1.92943  0.00278581
         215      1.9117     1.92935  0.00277407
         216     1.91188     1.92926  0.00276241
         217       1.912     1.92918  0.00275083
         218     1.91207     1.92911  0.00273933
         219     1.91208     1.92903  0.00272792
         220     1.91204     1.92895  0.00271662
         221     1.91196     1.92887  0.00270541
         222     1.91183      1.9288  0.00269431
