#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59963     1.59963           0
           2     1.59951     1.59957 4.10221e-05
           3     1.59938     1.59951 5.95868e-05
           4     1.59922     1.59944 7.61203e-05
           5     1.59904     1.59936 9.31416e-05
           6     1.59884     1.59927 0.000110683
           7     1.59862     1.59918 0.000128097
           8     1.59838     1.59908 0.000145629
           9     1.59813     1.59897 0.000163157
          10     1.59786     1.59886 0.000180711
          11     1.59758     1.59875 0.000198452
          12     1.59729     1.59862 0.000216035
          13     1.59698      1.5985 0.000233394
          14     1.59668     1.59837 0.000250245
          15     1.59638     1.59824 0.000266442
          16     1.59607      1.5981 0.000281973
          17     1.59578     1.59796 0.000296527
          18      1.5955     1.59783  0.00031005
          19     1.59523     1.59769 0.000322475
          20     1.59498     1.59755 0.000333601
          21     1.59475     1.59742 0.000343382
          22     1.59454     1.59729 0.000351829
          23     1.59436     1.59716  0.00035889
          24      1.5942     1.59704 0.000364581
          25     1.59406     1.59692 0.000368939
          26     1.59395     1.59681  0.00037202
          27     1.59386      1.5967 0.000373869
          28     1.59379     1.59659 0.000374641
          29     1.59375     1.59649 0.000374354
          30     1.59372      1.5964 0.000373129
          31     1.59371     1.59632 0.000371067
          32     1.59372     1.59623 0.000368254
          33     1.59374     1.59616 0.000364792
          34     1.59377     1.59609 0.000360782
          35     1.59381     1.59602 0.000356315
          36     1.59385     1.59596 0.000351499
          37      1.5939     1.59591 0.000346399
          38     1.59395     1.59586 0.000341091
          39     1.59401     1.59581 0.000335625
          40     1.59406     1.59576 0.000330056
          41     1.59412     1.59572  0.00032443
          42     1.59417     1.59569 0.000318799
          43     1.59423     1.59565 0.000313175
          44     1.59429     1.59562 0.000307587
          45     1.59434     1.59559 0.000302063
          46     1.59439     1.59557 0.000296627
          47     1.59444     1.59554 0.000291293
          48     1.59448     1.59552 0.000286064
          49     1.59453      1.5955 0.000280944
          50     1.59457     1.59548 0.000275945
          51     1.59461     1.59547  0.00027107
          52     1.59464     1.59545 0.000266316
          53     1.59468     1.59544 0.000261685
          54     1.59472     1.59542 0.000257175
          55     1.59475     1.59541 0.000252784
          56     1.59479      1.5954 0.000248515
          57     1.59482     1.59539 0.000244362
          58     1.59486     1.59538 0.000240322
          59     1.59489     1.59537  0.00023639
          60     1.59493     1.59536 0.000232568
          61     1.59497     1.59536 0.000228845
          62       1.595     1.59535 0.000225227
          63     1.59503     1.59535 0.000221709
          64     1.59507     1.59534 0.000218288
          65      1.5951     1.59534 0.000214961
          66     1.59513     1.59534 0.000211727
          67     1.59517     1.59533 0.000208581
          68      1.5952     1.59533 0.000205522
          69     1.59524     1.59533 0.000202547
          70     1.59528     1.59533 0.000199655
          71     1.59532     1.59533 0.000196843
          72     1.59536     1.59533  0.00019411
          73      1.5954     1.59533 0.000191453
          74     1.59544     1.59533 0.000188872
          75     1.59548     1.59533 0.000186364
          76     1.59553     1.59534 0.000183929
          77     1.59557     1.59534 0.000181566
          78     1.59561     1.59534  0.00017927
          79     1.59565     1.59535 0.000177042
          80     1.59569     1.59535  0.00017488
          81     1.59573     1.59536 0.000172782
          82     1.59576     1.59536 0.000170747
          83      1.5958     1.59537 0.000168773
          84     1.59584     1.59537 0.000166859
          85     1.59588     1.59538 0.000165002
          86     1.59591     1.59538   0.0001632
          87     1.59594     1.59539  0.00016145
          88     1.59597      1.5954 0.000159749
          89       1.596      1.5954   0.0001581
          90     1.59603     1.59541 0.000156498
          91     1.59606     1.59542 0.000154943
          92     1.59609     1.59542 0.000153433
          93     1.59612     1.59543 0.000151967
          94     1.59615     1.59544 0.000150543
          95     1.59618     1.59545 0.000149161
          96     1.59621     1.59546 0.000147816
          97     1.59623     1.59546  0.00014651
          98     1.59625     1.59547 0.000145236
          99     1.59628     1.59548 0.000143996
         100      1.5963     1.59549 0.000142787
         101     1.59631      1.5955 0.000141607
         102     1.59633      1.5955 0.000140453
         103     1.59634     1.59551 0.000139322
         104     1.59635     1.59552 0.000138217
         105     1.59636     1.59553 0.000137133
         106     1.59637     1.59554 0.000136069
         107     1.59638     1.59554 0.000135024
         108     1.59638     1.59555 0.000133996
         109     1.59639     1.59556 0.000132987
         110      1.5964     1.59557 0.000131996
         111      1.5964     1.59558 0.000131019
         112      1.5964     1.59558 0.000130057
         113      1.5964     1.59559 0.000129109
         114      1.5964      1.5956 0.000128171
         115      1.5964      1.5956 0.000127245
         116     1.59639     1.59561 0.000126329
         117     1.59638     1.59562 0.000125423
         118     1.59638     1.59562 0.000124526
         119     1.59637     1.59563 0.000123639
         120     1.59637     1.59564 0.000122763
         121     1.59637     1.59564 0.000121897
         122     1.59636     1.59565 0.000121041
         123     1.59636     1.59565 0.000120193
         124     1.59635     1.59566 0.000119354
         125     1.59634     1.59566 0.000118522
         126     1.59633     1.59567   0.0001177
         127     1.59632     1.59568 0.000116885
         128     1.59632     1.59568 0.000116079
         129     1.59631     1.59569 0.000115281
         130      1.5963     1.59569 0.000114492
         131     1.59629     1.59569 0.000113711
         132     1.59629      1.5957 0.000112939
         133     1.59628      1.5957 0.000112176
         134     1.59628     1.59571 0.000111421
         135     1.59628     1.59571 0.000110675
         136     1.59628     1.59572  0.00010994
         137     1.59628     1.59572 0.000109214
         138     1.59629     1.59572   0.0001085
         139     1.59629     1.59573 0.000107795
         140     1.59629     1.59573   0.0001071
         141      1.5963     1.59574 0.000106417
         142     1.59631     1.59574 0.000105744
         143     1.59632     1.59574 0.000105083
         144     1.59634     1.59575 0.000104433
         145     1.59635     1.59575 0.000103794
         146     1.59637     1.59576 0.000103168
         147     1.59639     1.59576 0.000102555
         148     1.59641     1.59577 0.000101955
         149     1.59643     1.59577 0.000101369
         150     1.59646     1.59577 0.000100797
         151     1.59649     1.59578  0.00010024
         152     1.59652     1.59578 9.96998e-05
         153     1.59656     1.59579 9.91762e-05
         154     1.59659     1.59579 9.86694e-05
         155     1.59663      1.5958 9.81813e-05
         156     1.59668     1.59581 9.77121e-05
         157     1.59672     1.59581  9.7265e-05
         158     1.59677     1.59582 9.68394e-05
         159     1.59682     1.59582 9.64368e-05
         160     1.59688     1.59583 9.60618e-05
         161     1.59694     1.59584 9.57143e-05
         162     1.59701     1.59584  9.5397e-05
         163     1.59708     1.59585 9.51109e-05
         164     1.59715     1.59586  9.4858e-05
         165     1.59722     1.59587 9.46403e-05
         166      1.5973     1.59588 9.44612e-05
         167     1.59738     1.59589 9.43226e-05
         168     1.59745      1.5959 9.42223e-05
         169     1.59754     1.59591 9.41662e-05
         170     1.59763     1.59592 9.41557e-05
         171     1.59771     1.59593 9.41889e-05
         172     1.59779     1.59594 9.42647e-05
         173     1.59788     1.59595 9.43895e-05
         174     1.59797     1.59596 9.45594e-05
         175     1.59805     1.59597  9.4773e-05
         176     1.59813     1.59598 9.50246e-05
         177     1.59821       1.596 9.53177e-05
         178     1.59829     1.59601 9.56482e-05
         179     1.59835     1.59602 9.60071e-05
         180     1.59842     1.59604 9.63898e-05
         181     1.59846     1.59605  9.6787e-05
         182      1.5985     1.59606 9.71907e-05
         183     1.59853     1.59608 9.75917e-05
         184     1.59855     1.59609 9.79807e-05
         185     1.59855      1.5961 9.83515e-05
         186     1.59854     1.59612 9.86908e-05
         187     1.59851     1.59613  9.8988e-05
         188     1.59846     1.59614 9.92362e-05
         189      1.5984     1.59615 9.94284e-05
         190     1.59832     1.59616   9.956e-05
         191     1.59823     1.59618  9.9624e-05
         192     1.59812     1.59619 9.96197e-05
         193       1.598     1.59619 9.95468e-05
         194     1.59787      1.5962  9.9406e-05
         195     1.59772     1.59621 9.92001e-05
         196     1.59758     1.59622 9.89382e-05
         197     1.59742     1.59622 9.86249e-05
         198     1.59727     1.59623 9.82678e-05
         199     1.59711     1.59623 9.78741e-05
         200     1.59696     1.59624 9.74527e-05
         201     1.59682     1.59624 9.70107e-05
         202     1.59668     1.59624 9.65551e-05
         203     1.59656     1.59624  9.6092e-05
         204     1.59645     1.59625 9.56262e-05
         205     1.59636     1.59625 9.51613e-05
         206     1.59628     1.59625 9.46995e-05
         207     1.59622     1.59625 9.42421e-05
         208     1.59618     1.59625 9.37896e-05
         209     1.59615     1.59624  9.3342e-05
         210     1.59614     1.59624 9.28988e-05
         211     1.59614     1.59624 9.24597e-05
         212     1.59616     1.59624 9.20244e-05
         213     1.59619     1.59624 9.15927e-05
         214     1.59623     1.59624 9.11647e-05
         215     1.59628     1.59624 9.07408e-05
         216     1.59633     1.59624 9.03216e-05
         217     1.59639     1.59624 8.99078e-05
         218     1.59644     1.59625 8.94999e-05
         219     1.59649     1.59625 8.90983e-05
         220     1.59654     1.59625 8.87032e-05
         221     1.59658     1.59625 8.83147e-05
         222     1.59662     1.59625 8.79329e-05
         223     1.59665     1.59625 8.75566e-05
