#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0709934   0.0709934           0
           2   0.0692272   0.0701103 0.000624446
           3   0.0634838   0.0679015  0.00185093
           4    0.073938   0.0694106  0.00190662
           5   0.0704002   0.0696085  0.00153553
           6   0.0730058   0.0701747  0.00138006
           7   0.0766394   0.0710983  0.00145957
           8   0.0721452   0.0712291  0.00128297
           9   0.0724836   0.0713685  0.00114797
          10   0.0696124   0.0711929  0.00104652
          11    0.071284   0.0712012 0.000951411
          12   0.0717704   0.0712486 0.000873309
          13   0.0700872   0.0711593 0.000810688
          14   0.0719952    0.071219 0.000754977
          15   0.0661672   0.0708822 0.000776137
          16   0.0739072   0.0710713 0.000750302
          17   0.0692358   0.0709633 0.000713893
          18    0.067381   0.0707643 0.000701424
          19   0.0702128   0.0707353 0.000665108
          20   0.0737386   0.0708854 0.000648583
