#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.761911   -0.761911           0
           2   -0.761062   -0.761487 0.000300238
           3   -0.762432   -0.761802  0.00032599
           4   -0.761836    -0.76181 0.000244605
           5   -0.761866   -0.761821 0.000195934
           6   -0.761629   -0.761789 0.000165875
           7   -0.760788   -0.761646 0.000194304
           8   -0.760588   -0.761514  0.00021028
           9   -0.761069   -0.761465 0.000192646
          10   -0.763078   -0.761626  0.00023128
          11   -0.761274   -0.761594 0.000212455
          12   -0.761381   -0.761576 0.000195492
          13   -0.760748   -0.761512  0.00019055
          14   -0.761512   -0.761512  0.00017694
          15   -0.761725   -0.761527 0.000165709
          16   -0.761947   -0.761553  0.00015742
          17   -0.762156   -0.761588 0.000152101
          18   -0.761617    -0.76159 0.000143659
          19   -0.762624   -0.761644 0.000146038
          20   -0.761435   -0.761634 0.000139111
