#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      4.4197      4.4197           0
           2     4.36053     4.39012   0.0209179
           3     4.46318     4.41447   0.0242874
           4     4.39744     4.41021   0.0185849
           5     4.39574     4.40732   0.0150917
           6     4.37608     4.40211   0.0134442
           7      4.3908      4.4005   0.0116203
           8     4.33317     4.39208   0.0128589
           9     4.39625     4.39254   0.0114384
          10     4.38149     4.39144   0.0103479
          11     4.47978     4.39947   0.0121299
          12     4.42603     4.40168   0.0113193
          13     4.38873     4.40069   0.0104923
          14     4.37251     4.39867  0.00993403
          15     4.44817     4.40197  0.00980443
          16     4.37046         4.4  0.00938738
          17     4.40003     4.40001  0.00883518
          18     4.30986       4.395  0.00965986
          19     4.33179     4.39167   0.0097074
          20     4.47537     4.39586   0.0100839
