#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.196882    0.196882           0
           2    0.195051    0.195966 0.000647341
           3    0.196578     0.19617 0.000462523
           4    0.196686    0.196299 0.000364444
           5    0.196986    0.196437 0.000316381
           6    0.195609    0.196299 0.000292154
           7    0.195038    0.196119 0.000300848
           8    0.195247     0.19601  0.00028229
           9    0.196252    0.196037 0.000252207
          10    0.196935    0.196126 0.000242468
          11    0.196364    0.196148 0.000221387
          12    0.195944    0.196131  0.00020359
          13    0.195602     0.19609  0.00019196
          14    0.197577    0.196197 0.000205531
          15     0.19668    0.196229 0.000194338
          16    0.195975    0.196213 0.000182837
          17    0.196599    0.196236 0.000173487
          18    0.196007    0.196223 0.000164314
          19    0.196122    0.196218 0.000155752
          20    0.195728    0.196193 0.000149873
