#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.027927    0.027927           0
           2    0.028233     0.02808 0.000108187
           3   0.0263902   0.0275167 0.000465526
           4   0.0276476   0.0275494 0.000350293
           5   0.0270158   0.0274427 0.000296048
           6   0.0263638   0.0272629 0.000296328
           7   0.0273268    0.027272 0.000254136
           8   0.0293032   0.0275259 0.000325351
           9    0.026568   0.0274195 0.000306116
          10   0.0273622   0.0274138 0.000275558
          11   0.0270306   0.0273789 0.000252699
          12   0.0282564    0.027452  0.00024199
          13   0.0255698   0.0273073 0.000263149
          14     0.02639   0.0272417 0.000252377
          15   0.0263894   0.0271849 0.000241865
          16   0.0255332   0.0270817 0.000247801
          17   0.0264886   0.0270468 0.000235668
          18    0.028307   0.0271168 0.000232742
          19   0.0282986    0.027179 0.000228653
          20   0.0290474   0.0272724 0.000235532
