#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.419865    0.419865           0
           2    0.421945    0.420905 0.000735412
           3    0.420665    0.420825 0.000494611
           4    0.418546    0.420255 0.000617229
           5    0.422025    0.420609 0.000586597
           6     0.42024    0.420548 0.000492044
           7     0.42507    0.421194 0.000731867
           8    0.421411    0.421221 0.000640887
           9    0.419504     0.42103 0.000597377
          10    0.423666    0.421294 0.000592963
          11    0.422061    0.421363 0.000543148
          12    0.420929    0.421327 0.000499091
          13    0.420452     0.42126 0.000465223
          14    0.419203    0.421113 0.000454605
          15    0.421014    0.421106 0.000424346
          16    0.420842     0.42109 0.000398144
          17    0.415596    0.420767 0.000488573
          18    0.420095    0.420729 0.000462855
          19    0.418232    0.420598 0.000456783
          20    0.419878    0.420562  0.00043536
