#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.18224     2.18224           0
           2     2.16995      2.1761  0.00434402
           3      2.1825     2.17823  0.00337913
           4     2.16594     2.17516    0.003674
           5     2.16987      2.1741   0.0030878
           6     2.17292      2.1739  0.00257941
           7     2.19962     2.17758  0.00405644
           8     2.17938      2.1778  0.00355562
           9     2.18652     2.17877  0.00328983
          10     2.16954     2.17785  0.00308767
          11     2.20051     2.17991  0.00342592
          12     2.20266      2.1818  0.00362746
          13     2.15508     2.17975  0.00388755
          14     2.14343     2.17715  0.00439075
          15     2.21223     2.17949  0.00467932
          16      2.1739     2.17914  0.00439991
          17     2.15339     2.17763  0.00439413
          18     2.19024     2.17833  0.00420553
          19     2.19821     2.17938  0.00411229
          20     2.18615     2.17971  0.00392061
