#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.527934   -0.527934           0
           2   -0.528756   -0.528345 0.000290621
           3   -0.527788   -0.528159 0.000246007
           4   -0.529064   -0.528385 0.000269146
           5   -0.528518   -0.528412 0.000216631
           6   -0.528846   -0.528484 0.000192211
           7    -0.52866   -0.528509 0.000166393
           8   -0.528284   -0.528481  0.00014795
           9   -0.529359   -0.528579 0.000160459
          10   -0.528547   -0.528576 0.000144445
          11   -0.527943   -0.528518 0.000142306
          12   -0.528933   -0.528553  0.00013458
          13   -0.528428   -0.528543 0.000124571
          14   -0.527906   -0.528497 0.000123712
          15   -0.529085   -0.528537 0.000121504
          16   -0.528485   -0.528533 0.000113952
          17   -0.528666   -0.528541 0.000107514
          18   -0.528692    -0.52855 0.000101867
          19   -0.528673   -0.528556 9.67137e-05
          20   -0.528601   -0.528558 9.19044e-05
