# DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 0.000871199           0
    0.910562   0.0261135           0
    0.936212    0.169311           0
    0.961861    0.554984           0
    0.987511     1.20623           0
     1.01316     1.84297           0
     1.03881     2.35804           0
     1.06446     2.58247           0
     1.09011     2.55143           0
     1.11576     2.41462           0
     1.14141     2.21342           0
     1.16706     1.97249           0
     1.19271     1.76524           0
     1.21836     1.55687           0
     1.24401      1.3954           0
     1.26966     1.24697           0
     1.29531     1.12279           0
     1.32096     1.02193           0
     1.34661    0.930676           0
     1.37226     0.86881           0
     1.39791    0.809143           0
     1.42355    0.767721           0
      1.4492     0.72557           0
     1.47485    0.704135           0
      1.5005    0.681225           0
     1.52615    0.661881           0
      1.5518    0.658985           0
     1.57745    0.663646           0
      1.6031    0.668009           0
     1.62875    0.678984           0
      1.6544    0.692689           0
     1.68005    0.718605           0
      1.7057    0.760297           0
     1.73135    0.782223           0
       1.757    0.811661           0
     1.78265    0.859591           0
      1.8083    0.897169           0
     1.83395    0.951242           0
      1.8596    0.991814           0
     1.88525     1.04159           0
      1.9109     1.07258           0
     1.93655     1.11314           0
      1.9622     1.14591           0
     1.98785     1.17317           0
      2.0135     1.18751           0
     2.03915     1.20988           0
      2.0648     1.22246           0
     2.09045     1.22269           0
      2.1161     1.20664           0
     2.14174     1.19655           0
     2.16739     1.17882           0
     2.19304     1.14945           0
     2.21869     1.12139           0
     2.24434     1.08131           0
     2.26999     1.06115           0
     2.29564      1.0264           0
     2.32129    0.997952           0
     2.34694    0.972288           0
     2.37259    0.955857           0
     2.39824    0.931475           0
     2.42389    0.917837           0
     2.44954    0.905646           0
     2.47519    0.893415           0
     2.50084    0.887785           0
     2.52649    0.880899           0
     2.55214     0.88492           0
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 0.000917052 3.24227e-05
    0.910562   0.0237749  0.00165358
    0.936212     0.16165  0.00541684
    0.961861    0.552287  0.00190728
    0.987511      1.1913   0.0105575
     1.01316     1.84829  0.00375962
     1.03881     2.33548    0.015952
     1.06446     2.56851  0.00987066
     1.09011     2.54002   0.0080656
     1.11576     2.42267  0.00569016
     1.14141     2.20794  0.00387822
     1.16706     1.97546  0.00209715
     1.19271     1.76724  0.00141001
     1.21836     1.56456  0.00543928
     1.24401      1.4042  0.00622631
     1.26966     1.24857  0.00113403
     1.29531      1.1257  0.00205807
     1.32096     1.02853  0.00467084
     1.34661    0.945567   0.0105294
     1.37226    0.874997  0.00437534
     1.39791    0.814297  0.00364456
     1.42355    0.771176  0.00244317
      1.4492    0.727476  0.00134798
     1.47485    0.704036 7.00361e-05
      1.5005    0.678666  0.00180997
     1.52615    0.671107  0.00652436
      1.5518    0.662623  0.00257269
     1.57745    0.665529  0.00133158
      1.6031    0.672892  0.00345299
     1.62875    0.684107  0.00362266
      1.6544    0.691016  0.00118277
     1.68005    0.718058 0.000386808
      1.7057    0.753675  0.00468205
     1.73135    0.780492  0.00122397
       1.757    0.812533 0.000616865
     1.78265    0.854772  0.00340769
      1.8083    0.897669   0.0003533
     1.83395    0.942264  0.00634884
      1.8596    0.983113  0.00615288
     1.88525     1.03085  0.00759755
      1.9109     1.06395   0.0061051
     1.93655     1.10566   0.0052911
      1.9622     1.13828  0.00539109
     1.98785     1.16609  0.00500548
      2.0135     1.19104  0.00249575
     2.03915     1.20761  0.00160901
      2.0648     1.21847  0.00282292
     2.09045      1.2188  0.00274536
      2.1161     1.21193  0.00373671
     2.14174     1.19318  0.00238571
     2.16739     1.17457   0.0030052
     2.19304     1.14963 0.000129344
     2.21869     1.12301  0.00114249
     2.24434      1.0939  0.00889696
     2.26999     1.06273  0.00112101
     2.29564     1.02915  0.00194647
     2.32129     1.00405  0.00431394
     2.34694    0.979827   0.0053311
     2.37259    0.963611  0.00548258
     2.39824      0.9402  0.00616939
     2.42389    0.926412  0.00606328
     2.44954    0.914311  0.00612739
     2.47519    0.900923  0.00530895
     2.50084     0.89139  0.00254955
     2.52649    0.885346  0.00314444
     2.55214    0.885562 0.000454144
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913   0.0011616 0.000200839
    0.910562   0.0247854  0.00137694
    0.936212    0.162579  0.00368996
    0.961861    0.557739  0.00463021
    0.987511     1.18913   0.0072572
     1.01316     1.85581  0.00663239
     1.03881      2.3356   0.0106351
     1.06446     2.55208   0.0149428
     1.09011     2.54397  0.00627149
     1.11576     2.41299  0.00876093
     1.14141     2.20038  0.00669299
     1.16706     1.97016  0.00455026
     1.19271      1.7672 0.000940634
     1.21836     1.56889   0.0050644
     1.24401     1.39824  0.00639563
     1.26966     1.24603  0.00221256
     1.29531     1.13179     0.00516
     1.32096      1.0289  0.00312854
     1.34661    0.948947  0.00754246
     1.37226    0.878509  0.00409022
     1.39791    0.819513  0.00490279
     1.42355    0.775884  0.00417437
      1.4492    0.735566  0.00666616
     1.47485    0.706815  0.00226935
      1.5005    0.681353  0.00250405
     1.52615    0.672318   0.0044604
      1.5518    0.663935  0.00202226
     1.57745    0.664973 0.000996904
      1.6031    0.672037  0.00240543
     1.62875    0.682386  0.00279426
      1.6544    0.691863  0.00104838
     1.68005    0.717502 0.000521752
      1.7057    0.751155  0.00373843
     1.73135    0.779144  0.00136987
       1.757    0.813553 0.000928618
     1.78265    0.854084  0.00234009
      1.8083    0.896789 0.000756385
     1.83395    0.941862  0.00424528
      1.8596    0.980707  0.00454791
     1.88525     1.02674  0.00607444
      1.9109     1.06388  0.00407042
     1.93655     1.10069   0.0053754
      1.9622     1.13178  0.00641096
     1.98785     1.16223  0.00458777
      2.0135     1.18689  0.00377672
     2.03915      1.2043  0.00290466
      2.0648     1.21582   0.0028678
     2.09045      1.2156  0.00319223
      2.1161     1.20744  0.00442918
     2.14174     1.19423  0.00180642
     2.16739     1.17485  0.00201721
     2.19304     1.15158  0.00159645
     2.21869     1.12398   0.0010982
     2.24434     1.09782  0.00674101
     2.26999     1.06511  0.00208183
     2.29564       1.036  0.00573616
     2.32129     1.01126  0.00654646
     2.34694    0.987321  0.00707589
     2.37259     0.96752  0.00485255
     2.39824    0.945291  0.00584783
     2.42389    0.930433  0.00520779
     2.44954    0.916352  0.00441168
     2.47519    0.903324  0.00404599
     2.50084    0.893321  0.00231839
     2.52649    0.883621  0.00252514
     2.55214    0.883949  0.00135099
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913  0.00121509 0.000157592
    0.910562   0.0248143  0.00103301
    0.936212    0.160964  0.00310071
    0.961861     0.55741  0.00348439
    0.987511      1.1871  0.00572011
     1.01316     1.86173   0.0071436
     1.03881     2.33663  0.00802568
     1.06446     2.54801   0.0117489
     1.09011     2.54513  0.00480984
     1.11576     2.41185  0.00664498
     1.14141     2.20387  0.00586195
     1.16706     1.97085  0.00346558
     1.19271     1.76324  0.00349478
     1.21836      1.5667  0.00424751
     1.24401     1.39733  0.00486168
     1.26966     1.24491  0.00191855
     1.29531     1.13021  0.00410378
     1.32096     1.02702  0.00285737
     1.34661    0.947914  0.00572715
     1.37226    0.873653  0.00520544
     1.39791    0.819369   0.0036792
     1.42355    0.776864  0.00324388
      1.4492    0.736828  0.00511774
     1.47485    0.707028    0.001712
      1.5005    0.685392  0.00397006
     1.52615    0.675729  0.00446283
      1.5518    0.667115  0.00314384
     1.57745    0.669245   0.0037739
      1.6031    0.674282  0.00265221
     1.62875    0.683887  0.00246626
      1.6544    0.694208  0.00217776
     1.68005    0.717498 0.000391331
      1.7057    0.749581  0.00311785
     1.73135    0.779093  0.00102835
       1.757     0.81424 0.000916126
     1.78265    0.851969  0.00253669
      1.8083     0.89625 0.000734643
     1.83395    0.940708   0.0033371
      1.8596    0.980857   0.0034134
     1.88525       1.024  0.00513795
      1.9109     1.06182  0.00353844
     1.93655     1.09515  0.00627035
      1.9622     1.12985  0.00509148
     1.98785     1.15844  0.00475709
      2.0135     1.18254  0.00471042
     2.03915     1.20315   0.0023969
      2.0648     1.21394   0.0026959
     2.09045     1.21547  0.00239668
      2.1161     1.20719  0.00332882
     2.14174     1.19406  0.00136245
     2.16739     1.17686  0.00230318
     2.19304     1.15314  0.00180428
     2.21869     1.12606  0.00198082
     2.24434     1.10027   0.0054847
     2.26999     1.06764  0.00268525
     2.29564     1.03872  0.00490826
     2.32129     1.01365  0.00533002
     2.34694    0.990733  0.00607441
     2.37259    0.969522  0.00403146
     2.39824    0.946722  0.00455765
     2.42389    0.931403   0.0039952
     2.44954    0.916448   0.0033098
     2.47519    0.905025  0.00337341
     2.50084    0.893017  0.00175871
     2.52649    0.884432  0.00201962
     2.55214    0.884674  0.00119198
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
