#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.43664    -5.43664           0
           2    -5.40674    -5.42169    0.010573
           3    -5.44298    -5.42879  0.00912505
           4    -5.44543    -5.43295  0.00773401
           5    -5.42569     -5.4315  0.00632182
           6    -5.46177    -5.43654   0.0069976
           7    -5.43829    -5.43679  0.00600239
           8    -5.43091    -5.43606  0.00529687
           9    -5.40949     -5.4331  0.00546926
          10    -5.44883    -5.43468  0.00514344
          11    -5.43527    -5.43473  0.00467613
          12    -5.45184    -5.43616  0.00449848
          13    -5.43611    -5.43615  0.00415245
          14    -5.43698    -5.43621  0.00385626
          15    -5.46466    -5.43811  0.00403864
          16    -5.43694    -5.43803  0.00378688
          17    -5.42752    -5.43742   0.0036143
          18    -5.44072     -5.4376  0.00341815
          19    -5.44779    -5.43814  0.00328004
          20    -5.43474    -5.43797  0.00312043
          21    -5.44977    -5.43853  0.00302205
          22    -5.42921     -5.4381  0.00291419
          23    -5.44881    -5.43857  0.00282445
          24    -5.45212    -5.43913  0.00276262
          25    -5.42773    -5.43868  0.00268951
          26    -5.41747    -5.43786  0.00270693
          27    -5.45285    -5.43842  0.00266295
          28    -5.45393    -5.43897  0.00262482
          29     -5.4547    -5.43951  0.00258972
          30    -5.46286    -5.44029  0.00261772
          31    -5.45231    -5.44068  0.00256182
          32    -5.45499    -5.44113  0.00252047
          33    -5.43041     -5.4408  0.00246492
          34    -5.45642    -5.44126  0.00243487
          35    -5.42478    -5.44079  0.00241038
          36    -5.46862    -5.44156  0.00246428
          37    -5.46068    -5.44208  0.00245122
          38    -5.44605    -5.44218  0.00238894
          39     -5.4385    -5.44209  0.00232956
          40    -5.42705    -5.44171  0.00230147
          41    -5.45132    -5.44195  0.00225723
          42     -5.4352    -5.44179  0.00220919
          43    -5.45042    -5.44199  0.00216692
          44    -5.42962    -5.44171  0.00213583
          45    -5.44752    -5.44184  0.00209227
          46    -5.42991    -5.44158  0.00206279
          47    -5.44934    -5.44174   0.0020255
          48    -5.43766    -5.44166  0.00198509
          49    -5.42796    -5.44138  0.00196416
          50    -5.43352    -5.44122  0.00193115
          51    -5.45945    -5.44158  0.00192608
          52    -5.42705     -5.4413  0.00190921
          53    -5.42207    -5.44094  0.00190735
          54    -5.43676    -5.44086  0.00187359
          55    -5.45098    -5.44104  0.00184855
          56    -5.45038    -5.44121  0.00182304
          57    -5.43101    -5.44103  0.00179983
          58     -5.4327    -5.44089  0.00177452
          59    -5.45449    -5.44112  0.00175936
          60    -5.41963    -5.44076  0.00176611
          61    -5.42606    -5.44052  0.00175353
          62    -5.41095    -5.44004  0.00178892
          63    -5.43053    -5.43989  0.00176689
          64    -5.45052    -5.44006  0.00174707
          65    -5.45506    -5.44029  0.00173538
          66     -5.4444    -5.44035   0.0017102
          67    -5.44162    -5.44037  0.00168478
          68    -5.43836    -5.44034  0.00166027
          69    -5.44369    -5.44039  0.00163692
          70    -5.43267    -5.44028  0.00161724
          71    -5.44656    -5.44037  0.00159688
          72    -5.42413    -5.44014  0.00159055
          73    -5.43619    -5.44009  0.00156968
          74    -5.43698    -5.44004  0.00154903
          75    -5.45965    -5.44031  0.00155028
          76     -5.4406    -5.44031  0.00152989
          77    -5.45033    -5.44044  0.00151554
          78     -5.4442    -5.44049  0.00149687
          79     -5.4337     -5.4404  0.00148039
          80    -5.45021    -5.44052  0.00146695
          81    -5.44015    -5.44052  0.00144885
          82    -5.44631    -5.44059   0.0014329
          83    -5.46623     -5.4409  0.00144856
          84    -5.41876    -5.44064  0.00145509
          85    -5.42916     -5.4405  0.00144422
          86    -5.45852    -5.44071  0.00144254
          87    -5.44748    -5.44079  0.00142806
          88    -5.43637    -5.44074  0.00141272
          89    -5.44295    -5.44076  0.00139706
          90    -5.44465    -5.44081  0.00138221
          91    -5.44277    -5.44083  0.00136719
          92    -5.41984     -5.4406  0.00137122
          93    -5.47129    -5.44093  0.00139562
          94    -5.44953    -5.44102  0.00138377
          95    -5.44858     -5.4411  0.00137149
          96    -5.44182    -5.44111  0.00135722
          97    -5.45145    -5.44121  0.00134741
          98    -5.47005    -5.44151  0.00136541
          99    -5.44677    -5.44156  0.00135266
