#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.48809     1.48809           0
           2     1.68425     1.58617   0.0693553
           3     1.47672     1.54969   0.0550019
           4     1.51129     1.54009   0.0420806
           5     1.52681     1.53743   0.0337482
           6        1.42     1.51786   0.0333192
           7     1.53638      1.5205   0.0286642
           8     1.55336     1.52461   0.0253737
           9     1.58403     1.53121   0.0233976
          10     1.49031     1.52712   0.0214123
          11     1.54474     1.52872   0.0195256
          12     1.52176     1.52814    0.017907
          13     1.55128     1.52992   0.0166177
          14      1.6052      1.5353   0.0162773
          15     1.45068     1.52966   0.0161402
          16     1.56165     1.53166   0.0152548
          17     1.62168     1.53695   0.0152489
          18     1.52297     1.53618   0.0144215
          19     1.53769     1.53626   0.0136627
          20     1.62642     1.54076   0.0137031
          21     1.52671     1.54009   0.0130669
          22      1.6013     1.54288   0.0127657
          23     1.47196     1.53979   0.0125775
          24     1.39066     1.53358   0.0135014
          25      1.5871     1.53572     0.01313
          26     1.61932     1.53894   0.0130127
          27     1.38553     1.53325   0.0137152
          28     1.42329     1.52933   0.0137761
          29     1.38464     1.52434   0.0141757
          30     1.36644     1.51907   0.0146477
          31     1.41208     1.51562   0.0145762
          32     1.44797     1.51351   0.0142732
          33     1.55427     1.51474    0.013894
          34     1.39998     1.51137   0.0138893
          35     1.51669     1.51152   0.0134933
          36     1.43255     1.50933   0.0132956
          37     1.38045     1.50584   0.0133847
          38     1.50792      1.5059   0.0130326
          39     1.54687     1.50695   0.0127407
          40     1.55109     1.50805   0.0124699
          41     1.45702     1.50681   0.0122277
          42       1.489     1.50638   0.0119439
          43     1.45487     1.50519   0.0117261
          44     1.54388     1.50607   0.0114925
          45     1.47863     1.50546   0.0112533
          46     1.59888     1.50749   0.0111904
          47      1.4297     1.50583    0.011074
          48      1.5569      1.5069   0.0108943
          49     1.63348     1.50948    0.010974
          50     1.52081     1.50971   0.0107568
          51     1.40141     1.50758   0.0107535
          52     1.58708     1.50911   0.0106548
          53     1.59106     1.51066   0.0105654
          54     1.54802     1.51135   0.0103923
          55     1.43133     1.50989   0.0103047
          56     1.46377     1.50907   0.0101536
          57     1.52355     1.50932  0.00997861
          58     1.50638     1.50927  0.00980669
          59     1.47983     1.50877  0.00965317
          60     1.54358     1.50935   0.0095097
          61     1.62335     1.51122  0.00953566
          62     1.66024     1.51363  0.00968004
          63     1.58903     1.51482  0.00960009
          64     1.53968     1.51521  0.00945794
          65      1.4127     1.51364  0.00944301
          66     1.50182     1.51346  0.00930163
          67     1.50256     1.51329  0.00916423
          68      1.4602     1.51251  0.00906266
          69     1.41982     1.51117  0.00903033
          70     1.54242     1.51162  0.00891235
          71     1.57619     1.51253  0.00883311
          72     1.59234     1.51363  0.00877971
