#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.46711    -5.46711           0
           2    -5.48413    -5.47562  0.00602006
           3    -5.46393    -5.47172  0.00512146
           4    -5.47151    -5.47167  0.00384137
           5    -5.44272    -5.46588  0.00602192
           6    -5.48453    -5.46899  0.00576522
           7    -5.47401    -5.46971   0.0049861
           8     -5.4484    -5.46704  0.00502384
           9    -5.47289    -5.46769   0.0045074
          10    -5.45387    -5.46631  0.00426336
          11    -5.45831    -5.46558  0.00393738
          12    -5.45777    -5.46493  0.00366264
          13    -5.47741    -5.46589  0.00350438
          14    -5.46067    -5.46552  0.00327381
          15    -5.46311    -5.46536   0.0030595
          16    -5.44643    -5.46418  0.00308862
          17    -5.48624    -5.46547  0.00316805
          18    -5.46024    -5.46518  0.00300538
          19    -5.48024    -5.46597  0.00294983
          20    -5.47469    -5.46641  0.00283433
          21    -5.47223    -5.46669  0.00271289
          22    -5.47128     -5.4669   0.0025976
          23    -5.45164    -5.46623  0.00256794
          24    -5.45842    -5.46591  0.00248148
          25    -5.46091    -5.46571  0.00239027
          26      -5.469    -5.46583  0.00230169
          27    -5.44525    -5.46507  0.00233929
          28    -5.46682    -5.46513  0.00225657
          29    -5.46095    -5.46499  0.00218337
          30    -5.46856    -5.46511  0.00211384
          31     -5.4449    -5.46446  0.00214385
          32    -5.47068    -5.46465  0.00208565
          33    -5.47788    -5.46505  0.00206061
          34    -5.47256    -5.46527  0.00201181
          35    -5.46621     -5.4653  0.00195451
          36    -5.47647    -5.46561  0.00192466
          37    -5.47424    -5.46584  0.00188671
          38    -5.46301    -5.46577  0.00183853
          39    -5.46715     -5.4658  0.00179173
          40    -5.45344     -5.4655   0.0017734
          41    -5.45233    -5.46517  0.00175897
          42    -5.46948    -5.46528  0.00172007
          43    -5.45373    -5.46501   0.0017009
          44    -5.45016    -5.46467  0.00169537
          45    -5.45598    -5.46448  0.00166867
          46     -5.4768    -5.46475  0.00165377
          47      -5.449    -5.46441  0.00165216
          48    -5.46957    -5.46452  0.00162123
          49    -5.44168    -5.46405  0.00165376
          50    -5.49668     -5.4647  0.00174467
          51    -5.45678    -5.46455  0.00171737
          52    -5.44655     -5.4642  0.00171887
          53    -5.45169    -5.46397  0.00170258
          54     -5.4537    -5.46378  0.00168162
          55    -5.44372    -5.46341  0.00169012
          56     -5.4435    -5.46306  0.00169693
          57    -5.44339    -5.46271  0.00170186
          58    -5.45649     -5.4626   0.0016759
          59      -5.456    -5.46249  0.00165122
          60     -5.4776    -5.46274  0.00164279
          61    -5.47206     -5.4629  0.00162294
          62    -5.46854    -5.46299  0.00159931
          63    -5.46424    -5.46301  0.00157405
          64    -5.46783    -5.46308  0.00155126
          65    -5.48485    -5.46342  0.00156312
          66    -5.48484    -5.46374  0.00157279
          67     -5.4497    -5.46353  0.00156321
          68    -5.47701    -5.46373  0.00155274
          69    -5.45511    -5.46361  0.00153526
          70    -5.47075    -5.46371  0.00151672
          71     -5.4564    -5.46361  0.00149885
          72    -5.48909    -5.46396  0.00151926
          73     -5.4827    -5.46422  0.00151999
          74    -5.48229    -5.46446  0.00151894
          75    -5.48209     -5.4647  0.00151676
          76    -5.46492     -5.4647   0.0014968
          77    -5.47389    -5.46482  0.00148211
          78    -5.45434    -5.46468  0.00146919
          79    -5.47947    -5.46487  0.00146247
          80    -5.47865    -5.46504  0.00145429
          81    -5.47325    -5.46514  0.00143986
          82    -5.46252    -5.46511  0.00142266
          83    -5.47732    -5.46526   0.0014131
          84    -5.47274    -5.46535  0.00139908
          85    -5.47762    -5.46549  0.00139005
          86     -5.4699    -5.46554  0.00137483
          87    -5.46357    -5.46552  0.00135922
          88    -5.46298    -5.46549  0.00134408
          89    -5.45041    -5.46532  0.00133962
          90    -5.46107    -5.46528  0.00132557
          91    -5.44823    -5.46509  0.00132418
          92    -5.47457    -5.46519  0.00131379
          93    -5.46735    -5.46521  0.00129987
          94    -5.47514    -5.46532  0.00129032
          95    -5.46065    -5.46527  0.00127768
          96    -5.45097    -5.46512  0.00127302
          97    -5.47372    -5.46521  0.00126298
          98    -5.46548    -5.46521   0.0012501
          99     -5.4731    -5.46529     0.00124
         100    -5.46407    -5.46528  0.00122766
         101    -5.45586    -5.46519  0.00121905
         102      -5.471    -5.46524  0.00120843
         103    -5.47733    -5.46536  0.00120238
         104    -5.46732    -5.46538  0.00119096
         105    -5.43746    -5.46511  0.00120893
         106    -5.46209    -5.46509  0.00119786
         107    -5.47085    -5.46514  0.00118788
         108    -5.46854    -5.46517   0.0011773
         109    -5.46749    -5.46519  0.00116669
         110    -5.46338    -5.46518   0.0011562
         111    -5.43843    -5.46494  0.00117061
         112     -5.4607     -5.4649  0.00116077
         113      -5.448    -5.46475  0.00116009
         114    -5.44633    -5.46459  0.00116112
         115    -5.47934    -5.46471  0.00115808
         116    -5.48216    -5.46487  0.00115782
         117    -5.47907    -5.46499  0.00115427
         118    -5.48528    -5.46516  0.00115723
         119     -5.4645    -5.46515  0.00114752
         120    -5.47045     -5.4652  0.00113881
         121    -5.45931    -5.46515  0.00113044
         122    -5.46493    -5.46515  0.00112117
         123    -5.46955    -5.46518  0.00111263
         124    -5.45779    -5.46512  0.00110525
         125    -5.47993    -5.46524  0.00110274
         126    -5.48417    -5.46539  0.00110418
         127     -5.4513    -5.46528  0.00110105
         128    -5.44786    -5.46514  0.00110082
         129    -5.43759    -5.46493  0.00111282
         130    -5.45924    -5.46489  0.00110512
         131    -5.45925    -5.46484  0.00109752
         132    -5.46885    -5.46487  0.00108963
         133     -5.4793    -5.46498  0.00108682
         134     -5.4499    -5.46487  0.00108453
         135    -5.46788    -5.46489  0.00107672
         136    -5.45458    -5.46482  0.00107147
         137     -5.4624     -5.4648  0.00106379
         138    -5.43377    -5.46457  0.00107959
         139    -5.43973     -5.4644  0.00108652
         140    -5.47843     -5.4645  0.00108337
         141    -5.45777    -5.46445  0.00107674
         142    -5.44985    -5.46435  0.00107405
         143    -5.47891    -5.46445  0.00107136
         144    -5.45627    -5.46439  0.00106542
         145    -5.47345    -5.46445  0.00105991
         146    -5.47595    -5.46453  0.00105557
         147    -5.46421    -5.46453  0.00104839
         148    -5.45489    -5.46446  0.00104333
         149    -5.46133    -5.46444  0.00103653
         150    -5.49105    -5.46462  0.00104469
         151    -5.47833    -5.46471  0.00104171
         152     -5.4568    -5.46466  0.00103616
         153    -5.49166    -5.46484   0.0010443
         154    -5.48005    -5.46493  0.00104219
         155    -5.46334    -5.46492  0.00103551
         156    -5.47694      -5.465  0.00103174
         157    -5.46659    -5.46501  0.00102522
         158    -5.45638    -5.46496  0.00102018
         159    -5.44148    -5.46481   0.0010244
         160    -5.45507    -5.46475   0.0010198
         161    -5.46252    -5.46473  0.00101356
         162     -5.4664    -5.46474  0.00100736
         163    -5.47366     -5.4648  0.00100266
         164     -5.4637    -5.46479 0.000996571
         165    -5.45299    -5.46472 0.000993094
         166    -5.47356    -5.46477 0.000988537
         167    -5.44746    -5.46467 0.000988037
         168    -5.47612    -5.46474 0.000984502
         169    -5.50393    -5.46497  0.00100561
         170    -5.45324     -5.4649  0.00100206
         171    -5.46346    -5.46489 0.000996235
         172     -5.4562    -5.46484 0.000991724
         173    -5.47632    -5.46491 0.000988208
         174    -5.48078      -5.465  0.00098673
         175    -5.46742    -5.46501 0.000981188
         176     -5.4513    -5.46494 0.000978702
         177    -5.43628    -5.46477 0.000986474
         178    -5.45975    -5.46475 0.000981335
         179    -5.49092    -5.46489 0.000986686
         180    -5.45834    -5.46486 0.000981876
         181    -5.46655    -5.46487 0.000976496
         182    -5.46802    -5.46488 0.000971284
         183    -5.46723     -5.4649 0.000966061
         184    -5.46595     -5.4649 0.000960828
         185    -5.45938    -5.46487 0.000956097
         186    -5.44496    -5.46476 0.000956928
         187    -5.46876    -5.46479 0.000952049
         188    -5.46288    -5.46478 0.000947039
         189    -5.46521    -5.46478 0.000942031
         190     -5.4561    -5.46473  0.00093818
         191    -5.45759    -5.46469 0.000934012
         192    -5.46017    -5.46467 0.000929444
         193    -5.47213    -5.46471 0.000925431
         194    -5.46168    -5.46469 0.000920792
         195    -5.46627     -5.4647 0.000916105
         196    -5.44812    -5.46462 0.000915328
         197    -5.45686    -5.46458 0.000911529
         198    -5.45131    -5.46451 0.000909385
         199    -5.47794    -5.46458 0.000907316
         200    -5.46132    -5.46456 0.000902927
         201    -5.45898    -5.46453 0.000898862
         202    -5.50654    -5.46474 0.000918152
         203    -5.47196    -5.46478 0.000914318
         204    -5.47165    -5.46481 0.000910456
         205    -5.45715    -5.46477 0.000906781
         206     -5.4797    -5.46485 0.000905269
         207    -5.47117    -5.46488 0.000901411
         208    -5.47255    -5.46491 0.000897831
         209    -5.46468    -5.46491 0.000893536
         210    -5.48203    -5.46499 0.000892992
         211     -5.4765    -5.46505 0.000890423
         212     -5.4624    -5.46504 0.000886311
         213    -5.46979    -5.46506  0.00088243
         214    -5.47449     -5.4651 0.000879405
         215    -5.44573    -5.46501 0.000879918
         216    -5.45578    -5.46497 0.000876882
         217    -5.47238      -5.465 0.000873506
         218    -5.45136    -5.46494 0.000871737
         219    -5.46737    -5.46495 0.000867828
         220     -5.4601    -5.46493 0.000864163
         221    -5.45386    -5.46488 0.000861703
         222    -5.47811    -5.46494 0.000859881
         223    -5.44809    -5.46487  0.00085934
         224    -5.47083    -5.46489 0.000855916
         225    -5.47162    -5.46492 0.000852634
         226    -5.46434    -5.46492 0.000848865
         227    -5.46454    -5.46492 0.000845128
         228    -5.45257    -5.46486 0.000843154
         229    -5.46008    -5.46484  0.00083973
         230    -5.47092    -5.46487 0.000836495
         231    -5.48297    -5.46495 0.000836534
         232    -5.45556    -5.46491 0.000833907
         233    -5.47967    -5.46497 0.000832731
         234    -5.46567    -5.46497 0.000829178
         235    -5.46358    -5.46497 0.000825671
         236    -5.47019    -5.46499 0.000822469
         237    -5.47606    -5.46504 0.000820323
         238    -5.47758    -5.46509 0.000818567
         239    -5.44303      -5.465  0.00082033
         240    -5.45001    -5.46493 0.000819283
         241    -5.47369    -5.46497 0.000816688
         242    -5.46718    -5.46498 0.000813364
         243    -5.45984    -5.46496 0.000810292
         244    -5.45847    -5.46493 0.000807407
         245    -5.47466    -5.46497 0.000805087
         246    -5.45898    -5.46495 0.000802182
         247       -5.46    -5.46493 0.000799184
         248    -5.46568    -5.46493 0.000795968
         249     -5.4481    -5.46486 0.000795636
         250    -5.46164    -5.46485 0.000792558
