#          T          mu       sigma           H       Error
         2.5       1.007    0.370805    0.554796   0.0102155
        2.45    0.651098     1.08291   0.0767447   0.0210697
       2.401    0.177309    0.619348    0.214095  0.00523546
     2.35298    0.451865    0.974388    -0.23611  0.00737973
     2.30592    0.297669     1.17465  -0.0431237   0.0120788
      2.2598      1.4034     1.07936     4.61358   0.0613121
     2.21461    0.625786     1.10463    0.110114   0.0170718
     2.17031    0.224123     1.18555  -0.0737848   0.0147676
     2.12691     1.19531    0.741872    0.612083   0.0162192
     2.08437    0.313977    0.630045   0.0506449  0.00458693
     2.04268    0.572887     0.44646   -0.056601  0.00553807
     2.00183     1.21758    0.892587     1.36266    0.026561
     1.96179    0.622016     1.00382   -0.123994   0.0121336
     1.92256    0.493883    0.688559   -0.227636   0.0027838
      1.8841    0.525483    0.631859   -0.232483  0.00304801
     1.84642    0.120564    0.968827   -0.242533  0.00586916
     1.80949    0.908005     1.35317     2.24002   0.0548015
      1.7733    0.521311    0.557076   -0.180494  0.00352238
     1.73784    0.713678     0.46019   -0.149458  0.00544419
     1.70308    0.423731     0.89075   -0.260322  0.00524511
     1.66902    0.338498     1.05308   -0.196518   0.0081966
     1.63564    0.564609     1.09386  -0.0386046   0.0131108
     1.60293    0.383551    0.615937  -0.0226861  0.00414542
     1.57087    0.963181     1.38409     2.72286   0.0572121
     1.53945    0.457712     1.14449 -0.00424199   0.0148443
     1.50866     1.02504     1.14456     1.56039   0.0405698
     1.47849     0.71851    0.684206   -0.406614  0.00222918
     1.44892    0.401213    0.802257   -0.225439  0.00355821
     1.41994    0.205935    0.443953    0.767583  0.00745678
     1.39154    0.213819    0.397885    0.952595  0.00872487
     1.36371     1.13847    0.320438     1.14341   0.0144889
     1.33644     0.32586     1.39518    0.798348   0.0406716
     1.30971    0.595383      1.2404    0.480197   0.0289839
     1.28351    0.845847    0.407333    0.230642  0.00761678
     1.25784     0.96567    0.615838   -0.333225  0.00335742
     1.23269    0.659743     0.95672   -0.165274   0.0106753
