#          T          mu       sigma           H       Error
           3    0.557043     1.00017   -0.168935   0.0292778
        2.94    0.471277     1.04209   -0.135576    0.033453
      2.8812     1.06316     1.51452     5.33909     0.27585
     2.82358    0.964402    0.908754    0.197616   0.0367664
      2.7671     1.17125    0.614113    0.143951   0.0170784
     2.71176    0.919884    0.819835   -0.117219   0.0199065
     2.65753    0.692295    0.445406    -0.10744   0.0183154
     2.60438    0.898017    0.839152   -0.106751   0.0356377
     2.55229   0.0620303    0.653516    0.168649   0.0156994
     2.50124     1.25134    0.514487    0.426697    0.021307
     2.45122    0.427038    0.836601   -0.258769   0.0120449
     2.40219     1.24645    0.410861    0.613465   0.0199249
     2.35415    0.451302    0.960809   -0.245577   0.0251079
     2.30707    0.918903     0.35093    0.824332   0.0380887
     2.26093     0.56963     1.41172     1.55713    0.227738
     2.21571    0.678564     1.18743    0.545131   0.0806121
     2.17139    0.460601    0.931911   -0.280887   0.0133952
     2.12797    0.441786    0.370788    0.382516   0.0275749
     2.08541     1.61198    0.415384     2.89204   0.0452867
      2.0437    0.574283    0.711495   -0.311737   0.0128233
     2.00282    0.642371     1.09453    0.119313   0.0614505
     1.96277     1.25063     0.76235     1.02043   0.0840778
     1.92351    0.538485     1.00659   -0.143721   0.0391495
     1.88504   0.0971574    0.426984     1.05345   0.0296614
     1.84734    0.314485     1.60611      2.2411    0.199797
     1.81039     1.44544    0.519626     1.48357   0.0421032
     1.77419    0.240671     1.30903    0.288681    0.060635
      1.7387     0.75343    0.350477    0.794469   0.0318963
     1.70393   0.0597341     1.05612   -0.241279    0.020599
     1.66985     1.09226    0.435641    0.229739    0.014112
     1.63645    0.552059    0.554053   -0.208512  0.00878583
     1.60372    0.102304    0.742465 -0.00493191   0.0148813
     1.57165     0.82248    0.862025   -0.152963   0.0337422
     1.54022      0.9092    0.542759   -0.333982  0.00771069
     1.50941    0.986502    0.528112   -0.229048  0.00867543
     1.47922     1.19918    0.362316    0.778029   0.0246694
     1.44964    0.586944     0.61276   -0.302469  0.00835942
     1.42065     0.10283    0.950275   -0.242764  0.00934745
     1.39223    0.416699    0.892584   -0.244587    0.018131
     1.36439   0.0541649    0.495235    0.703618   0.0225766
      1.3371    0.512169    0.967681   -0.243727   0.0192143
     1.31036    0.497194    0.757953   -0.268499  0.00956766
     1.28415    0.186812    0.879282   -0.188785   0.0104585
     1.25847    0.480699    0.435322   0.0756316   0.0169399
      1.2333   0.0168197     1.16823   -0.146313   0.0328202
     1.20863    0.219507    0.949852   -0.255247   0.0106131
     1.18446     0.65325     0.49191   -0.244708   0.0156674
     1.16077    0.949644    0.893234    0.187664    0.058162
     1.13756   0.0524939     1.15215  -0.0965508   0.0380642
     1.11481    0.889957     1.00226    0.335546   0.0602385
     1.09251    0.563614    0.898206   -0.267916   0.0179275
     1.07066     0.48481     1.44011     1.34254    0.156882
     1.04925    0.194195    0.999314   -0.264042   0.0146248
     1.02826      0.9737    0.763218   -0.148765    0.024574
