# Generation                                                Route                                                 L(1)
       0       1 3 33 32 25 7 22 9 28 10 12 4 17 15 29 18 6 19 14 26 16 23 11 5 24 8 21 27 31 30 13 20 34 2      32.9596
       1       1 3 33 32 25 7 22 9 28 10 12 4 17 15 2 29 18 6 19 14 26 16 23 11 5 24 8 21 27 31 30 13 20 34       32.725
       2       1 2 3 33 32 25 7 22 9 28 10 12 4 17 15 29 18 6 34 20 13 30 31 27 21 8 24 5 11 23 16 26 14 19      29.8483
       3       1 8 24 30 13 20 34 3 33 32 25 7 22 9 28 10 12 4 17 15 2 29 18 6 19 14 26 16 23 11 5 31 27 21      27.6464
       4       1 8 24 30 13 20 34 3 33 32 25 7 22 9 28 10 12 4 17 15 2 29 18 6 19 14 26 16 23 11 5 31 27 21      27.6464
       5       1 8 24 30 13 3 33 32 25 7 22 9 28 10 12 4 17 15 2 29 18 6 34 20 31 27 21 5 11 23 16 26 14 19      26.8426
       6       1 8 24 30 13 3 33 32 25 7 22 9 28 10 12 4 17 15 2 29 20 34 18 6 16 23 11 19 14 26 5 31 27 21      25.8667
       7       1 8 24 30 13 20 34 3 33 32 25 7 22 9 28 11 23 16 6 18 29 2 15 17 4 12 10 19 14 26 5 31 27 21      24.9919
       8       1 8 24 30 13 3 33 32 20 34 25 7 22 9 28 11 23 16 6 18 29 2 15 17 4 12 10 19 14 26 5 31 27 21       23.224
       9       1 8 24 30 13 3 33 32 20 34 25 7 22 9 28 11 27 16 6 18 29 2 15 17 4 12 10 19 14 26 5 31 23 21      22.2713
      10       1 8 24 30 13 3 33 32 20 34 25 7 22 9 28 11 27 16 6 18 29 2 15 17 4 12 10 19 14 26 5 31 23 21      22.2713
      11       1 8 24 30 13 3 33 32 20 34 25 7 22 26 14 19 10 12 4 17 15 2 29 18 6 16 27 11 28 9 5 31 23 21      21.1993
      12       1 8 24 30 13 3 33 32 20 34 25 7 22 26 14 19 10 12 9 28 11 27 16 6 18 29 2 15 17 4 5 31 23 21      20.0936
      13       1 8 24 30 13 3 33 32 20 34 9 7 22 26 14 19 10 12 25 28 11 27 16 6 18 29 2 15 17 4 5 31 23 21      18.8159
      14       1 8 24 4 17 15 2 29 30 13 3 33 32 20 34 25 7 22 26 14 19 10 12 9 28 11 27 16 6 18 5 31 23 21       18.733
