# Generation                                                Route                                                 L(1)
       0       1 28 3 25 9 21 7 32 2 10 11 23 19 5 15 13 27 17 24 6 26 18 12 4 31 33 8 14 20 30 22 16 29 34      29.9001
       1       1 28 3 25 9 21 7 32 2 10 11 23 19 5 15 13 27 4 30 31 29 14 20 17 22 18 6 12 16 33 26 24 8 34      29.1908
       2       1 28 3 25 9 21 7 32 2 10 11 23 19 5 15 13 27 4 30 31 29 14 20 17 22 18 6 12 16 33 8 24 26 34      28.6747
       3       1 28 3 25 9 21 7 32 2 10 11 23 19 5 15 13 27 4 30 31 29 14 20 17 22 18 6 12 16 8 24 33 34 26      27.6352
       4       1 28 3 25 9 21 7 32 2 10 11 23 19 5 15 13 27 4 30 31 29 14 20 17 22 18 6 12 16 33 8 34 24 26      25.9175
       5       1 28 3 25 9 21 7 32 2 10 11 23 19 5 15 13 27 4 30 14 20 17 22 18 6 31 29 12 16 33 8 34 24 26      23.8061
       6       1 28 3 25 9 21 7 32 2 10 11 23 19 5 15 13 27 4 30 14 20 17 22 18 6 31 29 12 16 33 8 34 24 26      23.8061
       7       1 14 20 17 22 28 3 25 9 21 7 32 2 10 11 23 19 5 15 13 27 4 30 18 6 31 29 12 16 33 8 34 24 26      23.1036
       8       1 14 20 17 22 28 3 25 9 21 7 32 2 10 11 23 19 5 15 13 27 4 30 18 6 31 29 12 16 33 8 34 24 26      23.1036
       9       1 14 20 17 22 28 3 25 9 21 7 32 2 10 11 18 30 4 27 13 15 5 19 23 6 31 29 12 16 33 8 34 24 26      22.4646
      10       1 14 20 17 22 28 3 25 9 21 7 32 2 10 11 23 19 6 15 13 27 4 30 18 5 31 29 12 16 33 8 34 24 26      22.4565
      11       1 14 20 17 22 28 3 25 8 33 16 12 29 31 6 18 30 4 27 13 15 5 19 23 9 21 7 32 2 10 11 34 24 26      21.3524
      12       1 14 20 17 22 28 3 25 8 33 16 12 29 31 6 18 5 15 13 27 4 30 19 23 9 21 7 32 2 10 11 34 24 26      20.6344
      13       1 14 20 17 22 28 18 6 3 25 8 33 16 12 29 31 5 15 13 27 4 30 19 23 9 21 7 32 2 10 11 34 24 26      20.2197
      14       1 14 20 17 22 28 18 6 3 25 8 33 16 12 29 31 5 15 13 27 4 30 19 23 9 21 7 32 2 10 11 34 24 26      20.2197
      15       1 14 20 17 22 28 18 3 25 8 33 16 12 29 31 4 5 15 13 27 6 30 19 23 9 21 7 32 2 10 11 34 24 26      19.0423
      16       1 14 20 17 22 28 18 3 25 8 33 16 12 29 31 4 5 15 13 27 6 30 19 23 9 21 7 32 2 10 11 34 24 26      19.0423
      17       1 14 20 17 22 28 18 6 3 25 8 33 16 12 29 31 4 5 15 23 13 27 30 19 9 21 7 32 2 10 11 34 24 26      18.2245
      18       1 14 20 17 22 28 18 3 25 8 33 16 12 29 31 4 5 6 15 23 13 27 30 19 9 21 7 32 2 10 11 34 24 26       17.974
      19       1 14 20 17 22 28 3 18 25 8 33 16 12 29 31 4 5 6 15 23 13 27 30 19 9 21 7 32 2 10 11 34 24 26      17.8258
      20       1 14 20 17 22 28 3 18 25 8 33 16 12 29 31 4 5 6 15 23 13 27 30 19 9 21 7 32 2 10 11 34 24 26      17.8258
      21       1 14 20 17 22 28 3 18 25 8 33 16 12 29 31 4 5 6 15 23 13 27 30 19 9 21 7 32 2 10 11 34 24 26      17.8258
      22       1 14 20 17 22 28 3 18 25 8 33 16 12 29 31 4 5 6 15 23 13 27 30 19 9 21 7 32 2 10 34 11 24 26      17.8217
      23       1 14 20 17 22 28 3 18 25 8 33 16 2 32 7 21 9 19 30 27 13 23 15 6 5 4 31 29 12 10 11 34 24 26      17.2209
      24       1 14 20 17 22 28 3 18 25 8 33 16 2 12 29 31 4 5 6 15 23 13 27 30 19 9 21 7 32 10 34 11 24 26      16.9834
      25       1 14 20 17 22 28 3 18 25 8 33 16 2 12 29 31 4 5 6 15 23 13 27 30 19 9 21 7 32 10 34 11 24 26      16.9834
      26       1 14 20 17 22 28 9 21 7 32 2 16 33 8 25 18 3 19 30 27 13 23 15 6 5 4 31 29 12 10 11 34 24 26      16.1365
      27       1 14 20 17 22 28 9 21 7 32 2 16 33 8 25 18 3 19 30 27 13 23 15 6 5 4 31 29 12 10 34 11 24 26      16.1324
      28       1 14 20 17 22 28 9 21 7 32 2 16 33 8 25 18 3 19 30 27 13 23 15 6 5 4 31 29 12 10 34 11 24 26      16.1324
      29       1 14 20 17 22 28 9 21 7 32 2 16 33 8 25 18 3 19 30 27 13 23 15 6 5 4 31 29 12 10 34 11 24 26      16.1324
      30       1 14 20 17 22 28 9 21 7 32 8 2 16 33 25 18 3 19 30 27 13 23 15 6 5 4 31 29 12 10 34 11 24 26      15.8013
      31       1 14 20 17 22 28 9 21 7 32 8 2 16 33 25 18 3 19 30 27 13 23 15 6 5 4 31 29 12 10 34 11 24 26      15.8013
      32       1 14 20 17 22 28 9 21 7 32 8 2 16 33 25 18 3 19 30 27 13 23 15 6 5 4 31 29 12 10 34 11 24 26      15.8013
      33       1 14 20 17 22 28 9 21 7 32 8 2 16 33 25 18 3 19 30 27 13 23 15 6 5 4 31 29 12 10 34 11 24 26      15.8013
